"","name","dialog","scene","start","end","subs"
"1","!","BLACK SCREEN

SUPER: New Line Cinema Presents

SUPER: A Wingnut Films Production

BLACK CONTINUES... ELVISH SINGING....A WOMAN'S VOICE IS
whispering, tinged with SADNESS and REGRET:
","",0,0,""
"2","GALADRIEL","I amar prestar sen: han mathon ne nen, han mathon ne chae...a han noston ned wilith. The world is changed: I feel it in the water, I feel it in the earth, I smell it in the air...Much that once was is lost, for none now live who remember it.","",31.1,56.6,"I amar prestar aen. The world is changed. Han mathon ne nen. I feel it in the water. Han mathon ne chae. I feel it in the earth. A han noston ned 'wilith. I smell it in the air. Much that once was... ...is lost. For none now live who remember it."
"3","!","SUPER: THE LORD OF THE RINGS

EXT. PROLOGUE -- DAY

IMAGE: FLICKERING FIRELIGHT. The NOLDORIN FORGE in EREGION.
MOLTEN GOLD POURS from the lip of an IRON LADLE.
","",0,0,""
"4","GALADRIEL","It began with the forging of the Great Rings.","",69.6,73.8,"It began with the forging of the great rings."
"5","!","IMAGE: THREE RINGS, each set with a single GEM, are received
by the HIGH ELVES-GALADRIEL, GIL-GALAD and CIRDAN.
","",0,0,""
"6","GALADRIEL","Three were given to the Elves, immortal, wisest...fairest of all beings.","",74.1,79.9,"Three were given to the elves: Immortal, wisest and fairest of all beings."
"7","!","IMAGE: SEVEN RINGS held aloft in triumph by the DWARF LORDS.
","",0,0,""
"8","GALADRIEL","Seven to the Dwarf Lords, great miners and craftsmen of the mountain halls.","",81.4,88.2,"Seven to the dwarf-lords: Great miners and craftsmen of the mountain halls."
"9","!","IMAGE: NINE RINGS clutched tightly by the KINGS OF MEN...as
if holding-close a precious secret.
","",0,0,""
"10","GALADRIEL","And Nine...nine rings were gifted to the race of Men who, above all else, desire power.","",88.8,97.2,"And nine... ...nine rings were gifted to the race of men... ...who, above all else, desire power."
"11","!","CONTINUED:","",0,0,""
"12","GALADRIEL","For within these rings was bound the strength and will to govern each race.","",98.4,103.4,"For within these rings was bound the strength and will to govern each race."
"13","!","","",0,0,""
"14","GALADRIEL","But they were all of them deceived.","",105.2,108.2,"But they were all of them deceived."
"15","!","FADE UP: An ancient PARCHMENT MAP of MIDDLE EARTH...moving
slowly across the MAP as if drawn by an unseen force the
CAMERA closes in on a PLACE NAME...MORDOR.
","",0,0,""
"16","GALADRIEL","...for another ring was made.","",108.6,110.6,"For another ring was made."
"17","!","TEASING SHOTS: SAURON forging the ONE RING in the CHAMBERS of
SAMMATH NAUR.
","",0,0,""
"18","GALADRIEL","In the land of Mordor, in the fires of Mount Doom, the Dark Lord Sauron forged in secret a Master Ring to control all others.","",111.5,122.1,"In the land of Mordor, in the fires of Mount Doom... ...the Dark Lord Sauron forged in secret a master ring... ...to control all others."
"19","!","IMAGE: The ONE RING reflecting FIERY LAVA!   FIRE WRITING
emerges on the plain BAND OF GOLD.
","",0,0,""
"20","GALADRIEL","...and into this Ring he poured his cruelty, his malice and his will to dominate all life.","",122.4,130.6,"And into this ring he poured his cruelty, his malice... ...and his will to dominate all life."
"21","!","IMAGE: THE ONE RING falls through SPACE and into flames...
","",0,0,""
"22","GALADRIEL","One Ring to rule them all...","",131.8,135.5,"One Ring to rule them all."
"23","!","IMAGE: A GREAT SHADOW falls across the MAP...closing in
around the realm of GONDOR...

IMAGE: SCREAMING VILLAGERS, MEN, WOMEN, AND CHILDREN, RUN

from their homes, pursued by ARMIES OF HIDEOUS ORCS.
","",0,0,""
"24","GALADRIEL","One by one the Free lands of Middle earth fell to the power of the ring.","",136.5,142.8,"One by one... ...the free lands of Middle-earth fell to the power of the ring."
"25","!","","",0,0,""
"26","GALADRIEL","But there were some...who resisted.","",143.2,146.1,"But there were some who resisted."
"27","!","CONTINUED:


FADE UP: ISILDUR, son of the KING OF GONDOR, leads an ARMY
ACROSS the PLAINS OF DAGORLAD...
","",0,0,""
"28","GALADRIEL","A last alliance of Men and Elves marched against the armies of Mordor.","",146.8,151.2,"A last alliance of men and elves marched against the armies of Mordor."
"29","!","","",0,0,""
"30","GALADRIEL","On the slopes of Mount Doom they fought for the freedom of Middle- Earth.","",151.6,156.1,"And on the slopes of Mount Doom, they fought for the freedom of Middle-earth."
"31","!","TEASING SHOTS: THE BATTLE OF DAGORLAD...THE ELF LORD, ELROND,

commands rank after rank of ELVEN ARCHERS...ORCS RETREATING
before the ARMY of the LAST ALLIANCE...ELENDIL holds aloft
the great sword....NARSIL!
","",0,0,""
"32","GALADRIEL","Victory was near!","",186.6,189.1,"Victory was near."
"33","!","IMAGES: THE HUGE, DARK FIGURE OF SARURON, bearing the ONE
RING on his finger, looms over the field of battle...
","",0,0,""
"34","GALADRIEL","But the power of the Ring could not be undone.","",193.9,198.3,"But the power of the ring... ...could not be undone."
"35","!","IMAGE: SAURON lays waste to the armies of the LAST ALLIANCE.
With desperate courage, ELENDIL leads a charge...THE BLACK
MACE OF SAURON LASHES OUT!! IMAGE: ELENDIL'S body falls like
a crumpled rag doll... IMAGE: ISILDUR cradles the body of his
father in his arms. The SHADOW OF SAURON falls over him...
","",0,0,""
"36","GALADRIEL","It was in this moment..when all hope had faded, that Isildur, son of the king, took up his father's sword.","",222.6,231.2,"It was in this moment... ...when all hope had faded... ...that Isildur, son of the king, took up his father's sword."
"37","!","ISILDUR snatches up the BROKEN BLADE OF NARSIL..The BLADE
severs SAURON'S FINGERS... AND THE ONE RING FLIES from his
body.
","",0,0,""
"38","GALADRIEL","Sauron, the enemy of the Free Peoples of Middle Earth, was defeated.","",262.5,268.7,"Sauron, the enemy of the free peoples of Middle-earth, was defeated."
"39","!","SAURON'S ARMOR clatters to the ground. His body GONE....VAPORIZED!
CLOSE ON: ISILDUR picks up the SEVERED
FINGER and removes the ONE RING...transfixed!
","",0,0,""
"40","GALADRIEL","The Ring passed to Isildur...who had this one chance to destroy evil forever.","",275.9,282.3,"The ring passed to Isildur... ... who had this one chance to destroy evil forever."
"41","!","CONTINUED:


IMAGE: GLADDEN FIELD...ISILDUR leads a small column of men
through DARKENING WOODS...the ONE RING glinting on a CHAIN
around his neck.
","",0,0,""
"42","GALADRIEL","But the hearts of Men are easily corrupted. And the Ring of Power has a will of its own.","",283.2,292.7,"But the hearts of men... ...are easily corrupted. And the ring of power has a will of its own."
"43","!","SUDDENLY!    ARROWS FLY!   They are ambushed by ORCS...ISILDUR
SCREAMS!


FADE UP: ISILDUR MATERIALIZES UNDER WATER...as THE RING slips
slowly from his finger. Ripples of LIGHT play across
ISILDUR'S PALE FACE...he is DEAD.
","",0,0,""
"44","GALADRIEL","It betrayed Isildur to his death.","",318.1,324.9,"It betrayed Isildur... ... to his death."
"45","!","IMAGE: THE RING falls through the MURKY WATERS of the RIVER
ANDUIN.
","",0,0,""
"46","GALADRIEL","And some things that should not have been forgotten...were lost.","",329.2,335.4,"And some things that should not have been forgotten... ...were lost."
"47","!","","",0,0,""
"48","GALADRIEL","History became legend...legend became myth.","",336.3,340.7,"History became legend... ...legend became myth."
"49","!","FADE UP: The waters of the ANDUIN RIVER lie dark and
undisturbed.
","",0,0,""
"50","GALADRIEL","And for two and a half thousand years the Ring passed out of all knowledge.","",341,347.7,"And for two and a half thousand years... ... the ring passed out of all knowledge."
"51","!","IMAGE: SILT SWIRLS...A THIN WHITE HAND reaches
down...grasping the RING...
","",0,0,""
"52","GALADRIEL","Until, when chance came, it ensnared a new bearer!","",348.4,354.9,"Until, when chance came... ...it ensnared a new bearer."
"53","!","IMAGE: THE THIN WHITE HAND opens to reveal one ring.
","",0,0,""
"54","GOLLUM","My Precious...","",356.4,361,"My precious."
"55","!","IMAGE: MIST SHROUDED MOUNTAINS...
","",0,0,""
"56","GALADRIEL","The Ring came to the creature Gollum, who took it deep into the tunnels of the Misty Mountains.","",361.5,367.9,"The ring came to the creature Gollum... ... who took it deep into the tunnels of the Misty Mountains."
"57","!","IMAGE: THE GLOOM of a MOUNTAIN CAVERN..a MURKY POOL of
WATER...in the DARKNESS the SHADOWY OUTLINE of an EMACIATED
FIGURE.
","",0,0,""
"58","GALADRIEL","And there, it consumed him.","",368.4,371.2,"And there it consumed him."
"59","!","A RASPY VOICE mutters in the half light...
","",0,0,""
"60","GOLLUM","It came to me. My own.     My love... My preciousness.","",371.5,382.9,"It came to me. My own. My love. My own. My precious."
"61","!","","",0,0,""
"62","GALADRIEL","The Ring brought to Gollum unnatural long life. For 500 years it poisoned his mind. And in the gloom of Gollum's cave...It waited.","",386.7,398.7,"The ring brought to Gollum unnatural long life. For 500 years it poisoned his mind. And in the gloom of Gollum's cave, it waited."
"63","!","FADE UP: Bathed in COLD MOONLIGHT, the WORLD lies DARK and
STILL...the unsettled quiet before the storm...
","",0,0,""
"64","GALADRIEL","Darkness crept back into the forests of the world. Rumor grew of a Shadow in the East...whispers of a nameless fear. And the Ring of Power perceived...its time had now come. It abandoned Gollum.","",399.1,420,"Darkness crept back into the forests of the world. Rumor grew of a shadow in the East... ... whispers of a nameless fear. And the ring of power perceived... ...its time had now come. It abandoned Gollum."
"65","!","SLOW MOTION: unseen by its KEEPER..THE RING falls to the
MUDDY FLOOR of a MOUNTAIN TUNNEL...
","",0,0,""
"66","GALADRIEL","But something happened then the Ring did not intend...","",420.8,425,"But something happened then the ring did not intend."
"67","!","IMAGE: FUMBLING in the dark, a SMALL HAND closes over the




RING.
","",0,0,""
"68","GALADRIEL","It was picked up by the most unlikely creature imaginable...","",426.1,430.5,"It was picked up by the most unlikely creature imaginable."
"69","!","","",0,0,""
"70","BILBO","What's this?","",430.9,431.9,"What's this?"
"71","!","A YOUNGISH LOOKING BILBO BAGGINS peers down at what lies in
his hand...PERPLEXED by what he has found.
","",0,0,""
"72","GALADRIEL","A Hobbit....Bilbo Baggins of the Shire.","",432.2,436.4,"A hobbit. Bilbo Baggins of the Shire."
"73","!","","",0,0,""
"74","BILBO","A Ring.","",436.8,438.5,"A ring."
"75","!","SUDDENLY!   A VOICE SCREAMS...ITS ANGUISH RINGING through the

COLD, DANK TUNNELS...
","",0,0,""
"76","GOLLUM","Lost! My precious is lost! My Precious is lost!","",438.7,446.6,"Lost! My precious is lost! My precious is lost!"
"77","!","Frightened Bilbo quickly POCKETS the ONE RING and hurries on.


WIDE ON: THE CAMERA SOARS AWAY FROM THE MOUNTAINS.      MOVING

FASTER AND FASTER...THEIR DARK GREEN FORESTS AND JAGGED

WHITE PEAKS RECEDING INTO THE SHROUD OF MIST
","",0,0,""
"78","GALADRIEL","For the time will soon come when Hobbits will shape the fortunes of all.","",447,454.5,"For the time will soon come... ... when Hobbits will shape the fortunes of all."
"79","!","EXT. HOBBITON WOODS -- DAY

ANGLE ON: TWO HOBBIT FEET

resting on a small rock...rising out of the LONG, OVERGROWN
GRASSES SUPER: THE FELLOWSHIP OF THE RING SUPER: THE
SHIRE....60 YEARS LATER CAMERA TRACKS TO: a Figure lies
beneath the dappled sunlight of an old tree.


CONTINUED:

White flowers are scattered among the Well seeded grasses.
An idyllic setting at the end of a long hot summer... the
figure is reading a book. ON THE SOUNDTRACK: In the distance,
growing louder..over the Gentle clip clop of an approaching
cart and horse can be heard the HUMMING OF A DEEP VOICE to
the tune of ""The Road Goes Ever On and On...""

SUDDENLY! The figure in the grass sits up...looking straight
at camera is a handsome young HOBBIT, with dark curly hair
and deep blue eyes. This is FRODO BAGGINS...his EYES alight
with EXCITEMENT! Tossing away the long stem of grass in his
mouth, Frodo runs off.


EXT. SHIRE LANE -- DAY

The cart rattles along a leafy lane, driven by a stooped
figure in Grey.

INTERCUT WITH; SHOTS OF FRODO RUNNING... CAREERING DOWN A

HILL. . .JUMPING OVER LOGS... DODGING TREE BRANCHES.


The shambling OLD PONY snorts and rears as... SUDDENLY FRODO
appears on a bank above the cart.
","",0,0,""
"80","FRODO","You're late.","",667.8,671.4,"You're late."
"81","!","CLOSE ON: GANDALF glowers at the young Hobbit...
","",0,0,""
"82","GANDALF","A Wizard is never late, Frodo Baggins, nor is he early. He arrives precisely when he means to.","",674.8,683.9,"A wizard is never late, Frodo Baggins. Nor is he early. He arrives precisely when he means to."
"83","!","They look at each other a moment..then both start laughing as
FRODO'S face breaks into a smile and he leaps on to the front
seat of the cart.
","",0,0,""
"84","FRODO","It's wonderful to see you, Gandalf!","",695.4,698.3,"It's wonderful to see you, Gandalf!"
"85","!","Next to Gandalf, we see how small Hobbits are...Frodo is 3
foot 6 inches tall.
","",0,0,""
"86","GANDALF","You didn't think I'd miss your Uncle Bilbo's birthday?","",702.3,705.9,"You didn't think I'd miss your Uncle Bilbo's birthday?"
"87","!","EXT. HOBBITON FIELDS -- DAY

Wide on: The cart rattles past a FIELD LUPIN being tended by

HOBBITS.
","",0,0,""
"88","FRODO","What news of the outside world? Tell me everything!","",0,0,""
"89","!","Gandalf looks down at Frodo, a twinkle in his eye.
","",0,0,""
"90","GANDALF","What, everything? Far too eager and curious for a Hobbit. Most unnatural...","",0,0,""
"91","!","Wide on: The cart rattles over a Stone bridge towards a Busy
Hobbit Marketplace.
","",0,0,""
"92","GANDALF","Well, what can I tell you? Life in the wide world goes on much as if it has past age. Full of its own comings and goings, scarcely even aware of the existence of Hobbits...","",0,0,""
"93","!","Close on: Gandalf as he surveys the peaceful scene before
him.
","",0,0,""
"94","GANDALF","...for which I am very thankful.","",0,0,""
"95","!","Hobbits look up exclaiming in wonder and excitement as the
cart bearing Gandalf and Frodo rolls past the Green Dragon
Inn...towards... Wide on: The party field. Where scOrcs of
Hobbits are busy preparing for the big night.
","",0,0,""
"96","GANDALF","Ah, the long expected party. So, how is the old rascal? I hear it's going to be a Party of Special Magnificence.","",707.7,713.9,"Ah, the long expected party. So, how is the old rascal? I hear it's going to be a party of special magnificence."
"97","!","","",0,0,""
"98","FRODO","You know Bilbo...he's got he whole place in an uproar.","",714.2,716.5,"You know Bilbo. He's got the whole piece in an uproar."
"99","!","","",0,0,""
"100","GANDALF","Oh, well...that should please him.","",716.8,718.7,"Well, that should please him."
"101","!","CONTINUED:

","",0,0,""
"102","FRODO","Half the Shire's been invited...","",718.9,720.7,"Half the Shire's been invited."
"103","!","","",0,0,""
"104","GANDALF","Good gracious, me.","",834.4,835.4,"Good gracious me."
"105","!","","",0,0,""
"106","FRODO","He's up to something.","",0,0,""
"107","!","","",0,0,""
"108","GANDALF","Oh, really?","",0,0,""
"109","!","Frodo shoots a knowing look, as Gandalf averts his eyes.
","",0,0,""
"110","FRODO","Alright then..keep your secrets. Before you came along we Bagginses were very well thought of.","",835.9,838.5,"Alright then..keep your secrets. Before you came along, we Bagginses were very well thought of."
"111","!","","",0,0,""
"112","GANDALF","Indeed?","",838.9,839.7,"Indeed."
"113","!","","",0,0,""
"114","FRODO","Never had any adventures or did anything unexpected.","",840.1,842.2,"Never had any adventures or did anything unexpected."
"115","!","","",0,0,""
"116","GANDALF","If you're referring to the incident with the Dragon...I was barely involved...all I did was give your Uncle a little nudge out the door.","",842.9,852.4,"If you're referring to the incident with the dragon. I was barely involved. All I did was give your uncle a little nudge out of the door."
"117","!","","",0,0,""
"118","FRODO","Whatever you did...you've been officially labelled as a Disturber of the Peace.","",852.7,856.7,"Whatever you did, you've been officially labeled a disturber of the peace."
"119","!","","",0,0,""
"120","GANDALF","Oh, really?","",857.3,859.1,"Oh, really?"
"121","!","ODO PROUDFOOT looks up as the Cart passes by, deeply
suspicious.


EXT. HOBBITON -- DAY


As the cart rattles into the small village of Hobbiton...a
quaint rustic settlement, nestled amongst rolling green hills
and large trees.


CONTINUED:

The Hobbits live in Hobbit Holes: neat burrows dug into the
grassy hillside, with round doors and cute front gardens.


Excited children, chasing after the cart.


Gandalf ignOrcs the children's cries. The children stand
deflated, watching Gandalf disappear up the lane. At that
moment: spinning balls of bright color suddenly leap out of
the cart, fizzing over the heads of the delighted children.


Gandalf smiling to himself, well pleased with his joke. ODO
PROUDFOOT is unable to suppress a chuckle. Frodo stands up in
the cart as Gandalf reigns in the horse.
","",0,0,""
"122","FRODO","Gandalf... I'm glad you're back.","",898.7,902.25,"Gandalf? I'm glad you're back."
"123","!","Frodo leaps expertly from the cart. Gandalf smiles.
","",0,0,""
"124","GANDALF","So am I, dear boy...so am I","",902.45,910.6,"So am I, dear boy. So am I."
"125","!","EXT. BAG END -- DAY

Wide on: GANDALF'S CART pulls up outside the gate to BAG
END...a particularly fine example of a Hobbit hole, with a
large round front door set into a grassy hillside. There is
a sign on the gate which reads: ""NO ADMITTANCE EXCEPT ON
PARTY BUSINESS."" Gandalf strides up to the garden path of Bag
End. He raises his staff and raps on the front door...a
voice calls out:
","",0,0,""
"126","BILBO","No, thank you! We don't want any more visitors, well wishers, or distant relations.","",942.5,947.8,"No, thank you! We don't want any more visitors, well-wishers or distant relations!"
"127","!","","",0,0,""
"128","GANDALF","And what about very old friends?","",948.3,951.6,"And what about very old friends?"
"129","!","Suddenly the door opens and BILBO BAGGINS stands before him.
He is a HOBBIT OF INDERTIMINATE AGE, with a mischievous
Twinkle in his eye. Wearing a dashing brocade waist coat, he
looks every inch the eccentric gentleman.




CONTINUED:

","",0,0,""
"130","BILBO","Gandalf?","",955,956.6,"Gandalf?"
"131","!","","",0,0,""
"132","GANDALF","Bilbo Baggins!","",957.3,960.6,"- Bilbo Baggins."
"133","!","","",0,0,""
"134","BILBO","My dear Gandalf!","",957.3,960.6,"- My dear Gandalf!"
"135","!","Gandalf drops to his knee to embrace his old friend.
","",0,0,""
"136","GANDALF","It's good to see you. 111 years old, who would believe it!","",957.3,965.9," Good to see you. 111 years old! Who would believe it?"
"137","!","Gandalf looks at him more keenly.
","",0,0,""
"138","GANDALF","You haven't aged a day!","",967.9,969.8,"You haven't aged a day."
"139","!","Gandalf and Bilbo laugh together and enter Bag End.
","",0,0,""
"140","BILBO","Come on, come in!   Welcome, welcome!!","",976.5,981,"Come on, come in! Welcome, welcome."
"141","!","INT. BAG END LIVING ROOM -- DAY

Bilbo leads Gandalf into Bag End...cozy and cluttered with
souvenirs of Bilbo's travels. Gandalf has to stoop to avoid
hitting his head on the low ceiling. Bilbo hangs up Gandalf's
hat on a peg and trots off down the hall.
","BAG END LIVING ROOM -- DAY",0,0,""
"142","BILBO","Tea? Or maybe something stronger... I've a few bottles of the Old Winyard left, 1296...a very good year, almost as old as I am. It was laid down by my father. What say we open one, eh?","BAG END LIVING ROOM -- DAY",982.3,1002.6,"Oh, here we are. Tea...or maybe something a littIe stronger? I've got a few bottles of the old winyard left - 1296. Very good year. Almost as old as I am. It was laid down by my father. What say we open one, eh?"
"143","!","Bilbo disappears into the kitchen as Gandalf looks
around..enjoying the familiarity of Bag End...he turns,
knocking his head on the light and then walking into the
wooden beam. He groans.
","BAG END LIVING ROOM -- DAY",0,0,""
"144","BILBO","I was expecting you some time last week. Not that it matters, you come and go as you please, always have done, always will.","BAG END LIVING ROOM -- DAY",1003,1017.1,"Just tea, thank you. I was expecting you sometime last week. Not that it matters. You come and go as you please. Always have and always will."
"145","!","CONTINUED:","BAG END LIVING ROOM -- DAY",0,0,""
"146","BILBO","You've caught me a bit unprepared, I'm afraid...we've only got cold chicken, bit of pickle, some cheese here... No, that won't do.","BAG END LIVING ROOM -- DAY",1017.4,1026,"You caught me a bit unprepared I'm afraid. We've only got cold chicken and a bit of pickle.... There's some cheese here. No, that won't do."
"147","!","Gandalf stops in front of a framed map, charred in one
corner...it is Thorin's map of the Lonely Mountain, Gandalf
smiles to himself.
","BAG END LIVING ROOM -- DAY",0,0,""
"148","BILBO","Er, we've got raspberry jam and apple tart...But not much for Afters, I'm afraid. Oh no...we're alright...I've just found some sponge cake. I could do you some eggs if you like?","BAG END LIVING ROOM -- DAY",1026.4,1042.2,"We've got raspberry jam, an apple tart.... But not much for afters. Oh, no, we're all right. I've just found some sponge cake. I could make you some eggs if you'd li..."
"149","!","Bilbo jumps, a half eaten pork pie in his hand, as Gandalf
mysteriously appears behind him.
","BAG END LIVING ROOM -- DAY",0,0,""
"150","GANDALF","Just tea, thank you.","BAG END LIVING ROOM -- DAY",1046.1,1048.7,"- Just tea, thank you."
"151","!","","BAG END LIVING ROOM -- DAY",0,0,""
"152","BILBO","Oh..right.     You don't mind if I eat, do you?","BAG END LIVING ROOM -- DAY",1046.1,1052,"- Oh, right.  - You don't mind if I eat, do you?"
"153","!","","BAG END LIVING ROOM -- DAY",0,0,""
"154","GANDALF","No, not at all.","BAG END LIVING ROOM -- DAY",1049.8,1052,"- No, not at all."
"155","!","A sudden loud knock on the front door.
","BAG END LIVING ROOM -- DAY",0,0,""
"156","MRS SACKVILLE BAGGINS","Bilbo! Bilbo Baggins, you open this door.. I know you're in there.","BAG END LIVING ROOM -- DAY",1049.8,1055.1," Bilbo! Bilbo Baggins, you open this door... I know you're in there."
"157","!","","BAG END LIVING ROOM -- DAY",0,0,""
"158","BILBO","I'm not home.","BAG END LIVING ROOM -- DAY",1055.4,1056.9,"I'm not at home!"
"159","!","Gandalf watches, amused as Bilbo tries to hide.
","BAG END LIVING ROOM -- DAY",0,0,""
"160","BILBO","I've got to get away from these confounded relatives, hanging on the bell all day, never giving me a moment's peace. I want to see mountains again...mountains, Gandalf... and then find somewhere quiet where I can finish my book...Oh, Tea!","BAG END LIVING ROOM -- DAY",1071.2,1085,"I've got to get away from these confounded relatives, hanging on the bell all day... ...never giving me a moment's peace. I want to see mountains again. Mountains, Gandalf! And then find somewhere quiet where I can finish my book. Oh, tea."
"161","!","","BAG END LIVING ROOM -- DAY",0,0,""
"162","GANDALF","So, you mean to go through with your plan?","BAG END LIVING ROOM -- DAY",1085.3,1089.1,"- So you mean to go through with your plan?"
"163","!","CONTINUED:

","BAG END LIVING ROOM -- DAY",0,0,""
"164","BILBO","Yes, yes...it's all inhand.   All the arrangements are made.","BAG END LIVING ROOM -- DAY",1085.3,1091.6,"- Yes, yes. It's all in hand.  All the arrangements are made."
"165","!","","BAG END LIVING ROOM -- DAY",0,0,""
"166","GANDALF","Frodo suspects something.","BAG END LIVING ROOM -- DAY",1093.8,1098,"Oh, thank you. Frodo suspects something."
"167","!","","BAG END LIVING ROOM -- DAY",0,0,""
"168","BILBO","Of course he does, he's a Baggins...not some block headed Bracegirdle from Hardbottle!","BAG END LIVING ROOM -- DAY",1098.3,1103.5,"Of course he does. He's a Baggins... ...not some blockheaded Bracegirdle from Hardbottle."
"169","!","","BAG END LIVING ROOM -- DAY",0,0,""
"170","GANDALF","You will tell him, won't you?","BAG END LIVING ROOM -- DAY",1104.2,1106.9,"You will tell him, won't you?"
"171","!","","BAG END LIVING ROOM -- DAY",0,0,""
"172","BILBO","Yes, yes.","BAG END LIVING ROOM -- DAY",1107.8,1109.8,"- Yes, yes."
"173","!","","BAG END LIVING ROOM -- DAY",0,0,""
"174","GANDALF","He's very fond of you.","BAG END LIVING ROOM -- DAY",1107.8,1109.8,"- He's very fond of you."
"175","!","","BAG END LIVING ROOM -- DAY",0,0,""
"176","BILBO","I know. He'd probably come with me if I asked him. I think, in his heart, Frodo's still in love with the Shire, the woods and the fields... little rivers.","BAG END LIVING ROOM -- DAY",1107.8,1129.7," I know. He'd probably come with me if I asked him. I think in his heart, Frodo's still in love with the Shire. The woods, the fields. Little rivers."
"177","!","Bilbo stands gazing out of the kitchen window.
","BAG END LIVING ROOM -- DAY",0,0,""
"178","BILBO","I am old, Gandalf...","BAG END LIVING ROOM -- DAY",1134.3,1136.9,"I am old, Gandalf."
"179","!","Bilbo looks at Gandalf sadly...
","BAG END LIVING ROOM -- DAY",0,0,""
"180","BILBO","I know I don't look it, but I'm beginning to feel it in my heart.","BAG END LIVING ROOM -- DAY",1138.4,1143.4,"I know I don't look it, but I'm beginning to feel it in my heart."
"181","!","Bilbo's fingers close around his waistcoat pocket...gripping
a small, unseen object.
","BAG END LIVING ROOM -- DAY",0,0,""
"182","BILBO","I feel thin...sort of stretched, like butter scraped over too much bread. I need a holiday...a very long holiday and I don't expect I shall return...in fact, I mean not to.","BAG END LIVING ROOM -- DAY",1145.8,1168.3,"I feel thin. Sort of stretched... ...like butter scraped over too much bread. I need a holiday. A very Long holiday. And I don't expect I shall return. In fact, I mean not to."
"183","!","INT. BAG END -- EVENING

Gandalf and Bilbo are sitting on the Bag End porch. Below
them, final preparations are being made on the Party field.
Bilbo strikes a match and lights his pipe.
","BAG END -- EVENING",0,0,""
"184","BILBO","Old Toby, the finest weed in Southfarthing!","BAG END -- EVENING",1171,1174.9,"Old Toby. The finest weed in the Southfarthing."
"185","!","Bilbo blows a perfect smoke ring and watches it rise into the
air. A tiny sailing ship with masts and sails glides through
the Center of Bilbo's smoke ring.
","BAG END -- EVENING",0,0,""
"186","BILBO","Ohhhh, Gandalf my old friend...this will be a night to remember!","BAG END -- EVENING",1192.5,1197.9,"Ohhhh, Gandalf, my old friend... ...this will be a night to remember."
"187","!","EXT. PARTY FIELD, HOBBITON -- NIGHT

BOOM! A FIREWORK explodes into the night sky high above
Hobbiton...in the shape of a great green tree with unfolding
branches. TILT DOWN: with glowing flowers as they rain down
from the branches...evaporating just above the up turned
faces of the delighted party-goers 144 Hobbits, feasting and
drinking Carts of beer and wine are scattered about, and the
tables are piled high with steaming scones and savories.
Gandalf hurries about, lighting fireworks with a blue spark
that dances magically from his staff... Bilbo is greeting
visitors. Frodo and SAM sit at a table drinking ale...Frodo
notices Sam's eyes keep flicking to another pretty Hobbit,
Rosie Cotton, sitting some distance away.
","BAG END -- EVENING",0,0,""
"188","FRODO","Go on, Sam, ask Rosie for a dance.","BAG END -- EVENING",1227.3,1229.7,"Go on, Sam. Ask Rosie for a dance."
"189","!","","BAG END -- EVENING",0,0,""
"190","SAM","I think I'll just have myself another ale.","BAG END -- EVENING",1232.4,1235.8,"- I think I'll just have myself another ale."
"191","!","","BAG END -- EVENING",0,0,""
"192","FRODO","Oh, no you don't. Go on.","BAG END -- EVENING",1232.4,1238.8,"- Oh, no, you don't.  Go on!"
"193","!","Sam goes to drain his glass... suddenly it is snatched out of
his hands as Frodo thrusts him into the middle of a passing
throng of dancers.




ANGLE ON: SAM'S HORRIFIED FACE

as he is Swept away.   Frodo laughs and finishes Sam's beer.


Gandalf as he sets alight a particularly spectacular firework
that draws gasps of admiration from the party guests.

Close on: Bilbo is relating stories of his adventure to a
group of young hobbit children.
","BAG END -- EVENING",0,0,""
"194","BILBO","So, there I was...at the mercy of three monstrous trolls...Have you ever heard of a troll? Do you know what a Troll is? Great big nasty twenty foot high smelly things..And they were all arguing amongst themselves...about how they were going to cook us!","BAG END -- EVENING",1249,1259.7,"So there I was... ...at the mercy of three monstrous trolls. Have you ever heard of a troll? Do you know what a Troll is? Great big nasty twenty foot high smelly things.. And they were all arguing amongst themselves... ...about how they were going to cook us."
"195","!","ANGLE ON: A LITTLE HOBBIT GIRL'S

upturned face...her eyes growing larger and larger.
","BAG END -- EVENING",0,0,""
"196","BILBO","Whether it be turned on a spit or minced in a pie or whether they were going to sit on us one by one and squash us into jelly! But they spent so long arguing the whether-to's and why-for's that the sun's first light crept over the top of the trees...and turned them all to stone!","BAG END -- EVENING",1260,1276.8,"Whether it be turned on a spit or minced in a pie, or to sit on us one by one, squash us into jelly. They spent so much time arguing the whithertos and the whyfors... ...that the sun's first light crept over the top of the trees... ...and turned them all to stone!"
"197","!","STUNNED GASPS from his young Audience greet his astonishing
feat! Close on: MERRY AND PIPPIN, two mischievous Young
Hobbits in their late teens. Pippin scrambles on to the back
of Gandalf's wagon, snatching up a small firework
","BAG END -- EVENING",0,0,""
"198","MERRY","No, no..the big one... big one!","BAG END -- EVENING",1292.7,1294,"No no, the big one - big one"
"199","!","Pippin grabs a huge rocket. CLOSE ON: FIREWORK FUSE crackles
with flame!

Merry is holding out the big rocket...he looks aghast at the
fizzing fuse that Pippin has just lit.
","BAG END -- EVENING",0,0,""
