"Country.Name","Country.Code","Zrodlo.Energii","Indicator.Code","variable","value"
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1992,1.15313688431137
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1992,0.0765187049974366
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1992,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1992,1.11487753181265
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1992,0.0849357625471547
"Poland","POL","coal ","EG.ELC.COAL.ZS",1993,97.3273435069321
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1993,1.12916322023995
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1993,0.0736080862656417
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1993,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1993,1.19290630525349
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1993,0.0462896212598365
"Poland","POL","coal ","EG.ELC.COAL.ZS",1994,97.0568817801251
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1994,1.30013353939412
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1994,0.110282533347337
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1994,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1994,1.26487313757558
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1994,0.0382612870796885
"Poland","POL","coal ","EG.ELC.COAL.ZS",1995,97.0571065804644
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1995,1.3769501320763
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1995,0.188263452080384
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1995,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1995,1.11133812991638
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1995,0.049619824579326
"Poland","POL","coal ","EG.ELC.COAL.ZS",1996,96.8624729096137
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1996,1.36762185361984
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1996,0.228763261894981
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1996,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1996,1.25501083615451
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1996,0.0941966372508747
"Poland","POL","coal ","EG.ELC.COAL.ZS",1997,96.6779011601093
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1997,1.39142157732288
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1997,0.152552595167985
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1997,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1997,1.3488487600667
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1997,0.121332529180118
"Poland","POL","coal ","EG.ELC.COAL.ZS",1998,96.605835008631
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1998,1.64025260884699
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1998,0.222346932251671
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1998,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1998,1.35113055956127
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1998,0.159123683144966
"Poland","POL","coal ","EG.ELC.COAL.ZS",1999,96.5050249641074
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",1999,1.53927471946629
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",1999,0.442853979614431
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",1999,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",1999,1.35070463782402
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",1999,0.140713280619424
"Poland","POL","coal ","EG.ELC.COAL.ZS",2000,96.3310377582522
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2000,1.47093746071214
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2000,0.648162375850364
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2000,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2000,1.33823180186347
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2000,0.157849888946317
"Poland","POL","coal ","EG.ELC.COAL.ZS",2001,95.3980281239346
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2001,1.61771766130211
