"","Kind","Country","Year","Length"
"1670","RD_EUR","SE","1989",4230
"1676","MWAY","BE","1988",1613
"1678","MWAY","CH","1988",1486
"1681","MWAY","DE","1988",8721
"1682","MWAY","DK","1988",599
"1684","MWAY","EL","1988",91
"1685","MWAY","ES","1988",2859
"1686","MWAY","FI","1988",214
"1687","MWAY","FR","1988",6328
"1692","MWAY","IT","1988",6091
"1694","MWAY","LU","1988",75
"1697","MWAY","NL","1988",2045
"1700","MWAY","PT","1988",211
"1702","MWAY","SE","1988",926
"1706","MWAY","UK","1988",3104
"1738","MWAY","BE","1987",1567
"1743","MWAY","DE","1987",8618
"1744","MWAY","DK","1987",599
"1746","MWAY","EL","1987",91
"1747","MWAY","ES","1987",2276
"1748","MWAY","FI","1987",204
"1749","MWAY","FR","1987",6206
"1754","MWAY","IT","1987",6091
"1756","MWAY","LU","1987",58
"1759","MWAY","NL","1987",1984
"1762","MWAY","PT","1987",211
"1764","MWAY","SE","1987",901
"1768","MWAY","UK","1987",3092
"1800","MWAY","BE","1986",1549
"1805","MWAY","DE","1986",8437
"1806","MWAY","DK","1986",593
"1808","MWAY","EL","1986",91
"1809","MWAY","ES","1986",2154
"1810","MWAY","FI","1986",204
"1811","MWAY","FR","1986",6019
"1816","MWAY","IT","1986",5997
"1818","MWAY","LU","1986",58
"1821","MWAY","NL","1986",1978
"1824","MWAY","PT","1986",196
"1826","MWAY","SE","1986",901
"1830","MWAY","UK","1986",3038
"1862","MWAY","BE","1985",1534
"1867","MWAY","DE","1985",8350
"1868","MWAY","DK","1985",593
"1870","MWAY","EL","1985",91
"1871","MWAY","ES","1985",2117
"1872","MWAY","FI","1985",204
"1873","MWAY","FR","1985",5885
"1878","MWAY","IT","1985",5955
"1880","MWAY","LU","1985",58
"1883","MWAY","NL","1985",1915
"1886","MWAY","PT","1985",196
"1888","MWAY","SE","1985",901
"1892","MWAY","UK","1985",2951
"1924","MWAY","BE","1984",1476
"1929","MWAY","DE","1984",8198
"1930","MWAY","DK","1984",539
"1932","MWAY","EL","1984",91
"1933","MWAY","ES","1984",2064
"1934","MWAY","FI","1984",204
"1935","MWAY","FR","1984",5497
"1940","MWAY","IT","1984",5941
"1942","MWAY","LU","1984",58
"1945","MWAY","NL","1984",1956
"1948","MWAY","PT","1984",195
"1950","MWAY","SE","1984",898
"1954","MWAY","UK","1984",2895
"1986","MWAY","BE","1983",1456
"1991","MWAY","DE","1983",8080
"1992","MWAY","DK","1983",518
"1994","MWAY","EL","1983",91
"1995","MWAY","ES","1983",2050
"1996","MWAY","FI","1983",204
"1997","MWAY","FR","1983",5497
"2002","MWAY","IT","1983",5901
"2004","MWAY","LU","1983",58
"2007","MWAY","NL","1983",1884
"2010","MWAY","PT","1983",169
"2012","MWAY","SE","1983",859
"2016","MWAY","UK","1983",2822
"2048","MWAY","BE","1982",1388
"2053","MWAY","DE","1982",7919
"2054","MWAY","DK","1982",516
"2056","MWAY","EL","1982",91
"2057","MWAY","ES","1982",1963
"2058","MWAY","FI","1982",204
"2059","MWAY","FR","1982",5290
"2064","MWAY","IT","1982",5901
"2066","MWAY","LU","1982",44
"2069","MWAY","NL","1982",1841
"2072","MWAY","PT","1982",169
"2074","MWAY","SE","1982",865
"2078","MWAY","UK","1982",2765
"2110","MWAY","BE","1981",1315
"2115","MWAY","DE","1981",7784
"2116","MWAY","DK","1981",515
"2118","MWAY","EL","1981",91
"2119","MWAY","ES","1981",1959
"2120","MWAY","FI","1981",204
"2121","MWAY","FR","1981",5289
"2126","MWAY","IT","1981",5900
"2128","MWAY","LU","1981",44
"2131","MWAY","NL","1981",1831
"2134","MWAY","PT","1981",132
"2136","MWAY","SE","1981",825
"2140","MWAY","UK","1981",2748
"2172","MWAY","BE","1980",1251
"2177","MWAY","DE","1980",7538
"2178","MWAY","DK","1980",504
"2180","MWAY","EL","1980",91
"2181","MWAY","ES","1980",1923
"2182","MWAY","FI","1980",185
"2183","MWAY","FR","1980",5287
"2188","MWAY","IT","1980",5900
"2190","MWAY","LU","1980",44
"2193","MWAY","NL","1980",1798
"2194","MWAY","NO","1980",57
"2196","MWAY","PT","1980",132
"2198","MWAY","SE","1980",809
"2202","MWAY","UK","1980",2694
"2234","MWAY","BE","1979",1203
"2239","MWAY","DE","1979",7292
"2240","MWAY","DK","1979",464
"2242","MWAY","EL","1979",86
"2243","MWAY","ES","1979",1769
"2245","MWAY","FR","1979",4895
"2250","MWAY","IT","1979",5900
"2252","MWAY","LU","1979",44
"2255","MWAY","NL","1979",1774
"2258","MWAY","PT","1979",74
"2260","MWAY","SE","1979",809
"2264","MWAY","UK","1979",2578
"2322","MWAY","SE","1978",766
"2384","MWAY","SE","1977",745
"2446","MWAY","SE","1976",715
"2482","MWAY","BE","1975",1051
"2487","MWAY","DE","1975",6207
"2488","MWAY","DK","1975",345
"2490","MWAY","EL","1975",76
"2491","MWAY","ES","1975",1746
"2492","MWAY","FI","1975",168
"2493","MWAY","FR","1975",3119
"2498","MWAY","IT","1975",5329
"2500","MWAY","LU","1975",23
"2503","MWAY","NL","1975",1525
"2506","MWAY","PT","1975",90
"2508","MWAY","SE","1975",692
"2512","MWAY","UK","1975",2082
"2570","MWAY","SE","1974",642
"2632","MWAY","SE","1973",607
"2694","MWAY","SE","1972",547
"2756","MWAY","SE","1971",441
"2792","MWAY","BE","1970",501
"2797","MWAY","DE","1970",4461
"2798","MWAY","DK","1970",198
"2800","MWAY","EL","1970",65
"2801","MWAY","ES","1970",1585
"2802","MWAY","FI","1970",152
"2803","MWAY","FR","1970",1542
"2808","MWAY","IT","1970",3913
"2810","MWAY","LU","1970",7
"2813","MWAY","NL","1970",975
"2814","MWAY","NO","1970",41
"2816","MWAY","PT","1970",60
"2818","MWAY","SE","1970",403
"2822","MWAY","UK","1970",1133
