name,sentence_id,order_id,word
WILL,29,40,can
WILL,29,41,get
WILL,29,42,word
WILL,29,43,to
WILL,29,44,my
WILL,29,45,family
WILL,29,46,tell
WILL,29,47,them
WILL,29,48,I’m
WILL,29,49,no
WILL,29,50,coward
WILL,29,51,Tell
WILL,29,52,them
WILL,29,53,I’m
WILL,29,54,sorry
WILL,30,0,Forgive
WILL,30,1,me
WILL,30,2,lord
NED,31,0,In
NED,31,1,the
NED,31,2,name
NED,31,3,of
NED,31,4,Robert
NED,31,5,of
NED,31,6,the
NED,31,7,House
NED,31,8,Baratheon
NED,31,9,first
NED,31,10,of
NED,31,11,his
NED,31,12,name
JON,32,0,Don’t
JON,32,1,look
JON,32,2,away
NED,33,0,King
NED,33,1,of
NED,33,2,the
NED,33,3,Andals
NED,33,4,and
NED,33,5,the
NED,33,6,First
NED,33,7,Men
JON,34,0,Father
JON,34,1,will
JON,34,2,know
JON,34,3,if
JON,34,4,you
JON,34,5,do
NED,35,0,Lord
NED,35,1,of
NED,35,2,the
NED,35,3,Seven
NED,35,4,Kingdoms
NED,35,5,and
NED,35,6,protector
NED,35,7,of
NED,35,8,the
NED,35,9,realm
NED,35,10,I
NED,35,11,Eddard
NED,35,12,of
NED,35,13,the
NED,35,14,House
NED,35,15,Stark
NED,35,16,Lord
NED,35,17,of
NED,35,18,Winterfell
NED,35,19,and
NED,35,20,Warden
NED,35,21,of
NED,35,22,the
NED,35,23,North
NED,35,24,sentence
NED,35,25,you
NED,35,26,to
NED,35,27,die
JON,36,0,You
JON,36,1,did
JON,36,2,well
BRAN,37,0,Jon
BRAN,37,1,said
BRAN,37,2,he
BRAN,37,3,was
BRAN,37,4,a
BRAN,37,5,deserter
NED,38,0,But
NED,38,1,do
NED,38,2,you
NED,38,3,understand
NED,38,4,why
NED,38,5,I
NED,38,6,had
NED,38,7,to
NED,38,8,kill
NED,38,9,him
BRAN,39,0,Our
BRAN,39,1,way
BRAN,39,2,is
BRAN,39,3,the
BRAN,39,4,old
BRAN,39,5,way
NED,40,0,The
NED,40,1,man
NED,40,2,who
NED,40,3,passes
NED,40,4,the
NED,40,5,sentence
NED,40,6,should
NED,40,7,swing
NED,40,8,the
NED,40,9,sword
BRAN,41,0,Is
BRAN,41,1,it
BRAN,41,2,true
BRAN,41,3,he
BRAN,41,4,saw
BRAN,41,5,the
BRAN,41,6,White
BRAN,41,7,Walkers
NED,42,0,The
NED,42,1,White
NED,42,2,Walkers
NED,42,3,have
NED,42,4,been
NED,42,5,gone
NED,42,6,for
NED,42,7,thousands
NED,42,8,of
NED,42,9,years
BRAN,43,0,So
BRAN,43,1,he
BRAN,43,2,was
BRAN,43,3,lying
NED,44,0,A
NED,44,1,madman
NED,44,2,sees
NED,44,3,what
NED,44,4,he
NED,44,5,sees
JON,45,0,What
JON,45,1,is
JON,45,2,it
THEON,46,0,Mountain
THEON,46,1,lion
NED,47,0,There
NED,47,1,are
NED,47,2,no
NED,47,3,mountain
NED,47,4,lions
NED,47,5,in
NED,47,6,these
NED,47,7,woods
NED,48,0,Tough
NED,48,1,old
NED,48,2,beast
ROBB,49,0,There
ROBB,49,1,are
ROBB,49,2,no
ROBB,49,3,direwolves
ROBB,49,4,south
ROBB,49,5,of
ROBB,49,6,the
ROBB,49,7,Wall
JON,50,0,Now
JON,50,1,there
JON,50,2,are
JON,50,3,five
JON,51,0,You
JON,51,1,want
JON,51,2,to
JON,51,3,hold
JON,51,4,it
BRAN,52,0,Where
BRAN,52,1,will
BRAN,52,2,they
BRAN,52,3,go
BRAN,52,4,Their
BRAN,52,5,mother’s
BRAN,52,6,dead
CASSEL,53,0,They
CASSEL,53,1,don’t
CASSEL,53,2,belong
CASSEL,53,3,down
CASSEL,53,4,here
THEON,54,0,Right
THEON,54,1,Give
THEON,54,2,it
THEON,54,3,here
BRAN,55,0,NO
ROBB,56,0,Put
ROBB,56,1,away
ROBB,56,2,your
ROBB,56,3,blade
THEON,57,0,I
THEON,57,1,take
THEON,57,2,orders
THEON,57,3,from
THEON,57,4,your
THEON,57,5,father
THEON,57,6,not
THEON,57,7,you
BRAN,58,0,Please
BRAN,58,1,father
NED,59,0,I’m
NED,59,1,sorry
NED,59,2,Bran
NED,60,0,You
NED,60,1,will
NED,60,2,train
NED,60,3,them
NED,60,4,yourselves
NED,60,5,You
NED,60,6,will
NED,60,7,feed
NED,60,8,them
NED,60,9,yourselves
NED,60,10,And
NED,60,11,if
NED,60,12,they
NED,60,13,die
NED,60,14,you
NED,60,15,will
