name,sentence_id,order_id,word
488,NED,60,2,train
493,NED,60,7,feed
499,NED,60,13,die
502,NED,60,16,bury
511,JON,62,3,stark
512,JON,62,4,get
519,JAIME,64,2,brother
521,JAIME,64,4,feel
524,JAIME,64,7,duty
526,JAIME,64,9,warn
529,JAIME,64,12,worry
530,JAIME,64,13,too
533,JAIME,64,16,starting
535,JAIME,64,18,show
538,CERSEI,65,2,never
539,CERSEI,65,3,worry
545,CERSEI,65,9,seven
547,CERSEI,65,11,jumped
550,CERSEI,65,14,cliffs
552,CERSEI,65,16,casterly
553,CERSEI,65,17,rock
555,CERSEI,65,19,hundred
556,CERSEI,65,20,foot
557,CERSEI,65,21,drop
560,CERSEI,65,24,water
564,CERSEI,65,28,never
565,CERSEI,65,29,afraid
570,JAIME,66,4,tell
572,CERSEI,67,1,husband
574,CERSEI,68,1,should
577,CERSEI,68,4,hand
580,CERSEI,68,7,king
583,JAIME,69,2,honor
589,JAIME,69,8,days
591,JAIME,69,10,too
592,JAIME,69,11,long
594,JAIME,69,13,lives
596,JAIME,69,15,too
597,JAIME,69,16,short
600,NED,70,2,five
601,NED,70,3,northern
602,NED,70,4,children
606,NED,70,8,outsider
608,CATELYN,71,1,wonder
611,CATELYN,71,4,old
612,CATELYN,71,5,gods
613,CATELYN,71,6,agree
616,NED,72,2,gods
620,NED,72,6,rules
624,CATELYN,73,3,sorry
626,CATELYN,73,5,love
627,CATELYN,74,0,there
630,CATELYN,74,3,raven
632,CATELYN,74,5,kings
633,CATELYN,74,6,landing
634,CATELYN,74,7,jon
635,CATELYN,74,8,arryn
637,CATELYN,74,10,dead
639,CATELYN,74,12,fever
640,CATELYN,74,13,took
648,CATELYN,74,21,father
652,NED,75,1,sister
654,NED,75,3,boy
659,CATELYN,76,4,health
660,CATELYN,76,5,gods
662,CATELYN,76,7,good
663,CATELYN,76,8,[pause]
665,CATELYN,76,10,raven
666,CATELYN,76,11,brought
668,CATELYN,76,13,news
670,CATELYN,76,15,king
671,CATELYN,76,16,rides
673,CATELYN,76,18,winterfell
676,CATELYN,76,21,queen
680,CATELYN,76,25,rest
683,NED,77,0,he’s
684,NED,77,1,coming
686,NED,77,3,far
687,NED,77,4,north
688,NED,77,5,there’s
689,NED,77,6,only
691,NED,77,8,thing
692,NED,77,9,he’s
696,CATELYN,78,2,always
697,CATELYN,78,3,say
699,CATELYN,78,5,ned
701,MAESTER,79,1,told
703,MAESTER,79,3,drinks
705,MAESTER,79,5,night
708,CATELYN,80,2,could
710,CATELYN,80,4,possibly
