"sceneId","person","toneId","val"
2,"DRIVER","anger",0
2,"DRIVER","confident",0
2,"DRIVER","fear",0
2,"DRIVER","joy",0
2,"DRIVER","sadness",0
2,"DRIVER","tentative",0
2,"FATHER","analytical",0
2,"FATHER","anger",0
2,"FATHER","confident",0
2,"FATHER","fear",0
2,"FATHER","joy",0
2,"FATHER","sadness",0
2,"FATHER","tentative",0
2,"FATMAN","analytical",0
2,"FATMAN","anger",0
2,"FATMAN","confident",0
2,"FATMAN","fear",0
2,"FATMAN","joy",0
2,"FATMAN","sadness",0
2,"FATMAN","tentative",0
2,"GIFFORD","analytical",0
2,"GIFFORD","anger",0
2,"GIFFORD","confident",0
2,"GIFFORD","fear",0
2,"GIFFORD","joy",0
2,"GIFFORD","sadness",0
2,"GIFFORD","tentative",0
2,"JOGGER","analytical",0
2,"JOGGER","anger",0
2,"JOGGER","confident",0
2,"JOGGER","fear",0
2,"JOGGER","joy",0
2,"JOGGER","sadness",0
2,"JOGGER","tentative",0
2,"LEADER","analytical",0
2,"LEADER","anger",0
2,"LEADER","confident",0
2,"LEADER","fear",0
2,"LEADER","joy",0
2,"LEADER","sadness",0
2,"LEADER","tentative",0
2,"LEON","analytical",0
2,"LEON","anger",0
2,"LEON","confident",0
2,"LEON","fear",0
2,"LEON","joy",0
2,"LEON","sadness",0
2,"LEON","tentative",0
2,"MALKY","analytical",0
2,"MALKY","anger",0
2,"MALKY","confident",0
2,"MALKY","fear",0
2,"MALKY","joy",0
2,"MALKY","sadness",0
2,"MALKY","tentative",0
2,"MATHILDA","analytical",0
2,"MATHILDA","anger",0
2,"MATHILDA","confident",0
2,"MATHILDA","fear",0
2,"MATHILDA","joy",0
2,"MATHILDA","sadness",0
2,"MATHILDA","tentative",0
2,"MEDIC","analytical",0
2,"MEDIC","anger",0
2,"MEDIC","confident",0
2,"MEDIC","fear",0
2,"MEDIC","joy",0
2,"MEDIC","sadness",0
2,"MEDIC","tentative",0
2,"MORIZIO","analytical",0
2,"MORIZIO","anger",0
2,"MORIZIO","confident",0
2,"MORIZIO","fear",0
2,"MORIZIO","joy",0
2,"MORIZIO","sadness",0
2,"MORIZIO","tentative",0
2,"MOTHER","analytical",0
2,"MOTHER","anger",0
2,"MOTHER","confident",0
2,"MOTHER","fear",0
2,"MOTHER","joy",0
2,"MOTHER","sadness",0
2,"MOTHER","tentative",0
2,"PIGGY","analytical",0
2,"PIGGY","anger",0
2,"PIGGY","confident",0
2,"PIGGY","fear",0
2,"PIGGY","joy",0
2,"PIGGY","sadness",0
2,"PIGGY","tentative",0
2,"SCENE","analytical",0
2,"SCENE","anger",0
2,"SCENE","confident",0
2,"SCENE","fear",0
2,"SCENE","joy",1.038598
2,"SCENE","sadness",0
2,"SCENE","tentative",0
2,"SISTER","analytical",0
2,"SISTER","anger",0
2,"SISTER","confident",0
2,"SISTER","fear",0
2,"SISTER","joy",0
2,"SISTER","sadness",0
2,"SISTER","tentative",0
2,"STANSFIELD","analytical",0
2,"STANSFIELD","anger",0
2,"STANSFIELD","confident",0
2,"STANSFIELD","fear",0
2,"STANSFIELD","joy",0
2,"STANSFIELD","sadness",0
2,"STANSFIELD","tentative",0
2,"TONY","analytical",0
2,"TONY","anger",0
2,"TONY","confident",0
2,"TONY","fear",0
2,"TONY","joy",0
2,"TONY","sadness",0
2,"TONY","tentative",0
2,"VOICE","analytical",0
2,"VOICE","anger",0
2,"VOICE","confident",0
2,"VOICE","fear",0
2,"VOICE","joy",0
2,"VOICE","sadness",0
2,"VOICE","tentative",0
3,"BLOND","analytical",0
3,"BLOND","anger",0
3,"BLOND","confident",0
3,"BLOND","fear",0
3,"BLOND","joy",0
3,"BLOND","sadness",0
3,"BLOND","tentative",0
3,"BODYGUARD","analytical",0
3,"BODYGUARD","anger",0
3,"BODYGUARD","confident",0
3,"BODYGUARD","fear",0
3,"BODYGUARD","joy",0
3,"BODYGUARD","sadness",0
3,"BODYGUARD","tentative",0
3,"BURT","analytical",0
3,"BURT","anger",0
3,"BURT","confident",0
3,"BURT","fear",0
3,"BURT","joy",0
3,"BURT","sadness",0
3,"BURT","tentative",0
3,"CHIEF","analytical",0
3,"CHIEF","anger",0
3,"CHIEF","confident",0
3,"CHIEF","fear",0
3,"CHIEF","joy",0
3,"CHIEF","sadness",0
3,"CHIEF","tentative",0
3,"COP","analytical",0
3,"COP","anger",0
3,"COP","confident",0
3,"COP","fear",0
3,"COP","joy",0
3,"COP","sadness",0
3,"COP","tentative",0
3,"DRIVER","analytical",0
3,"DRIVER","anger",0
3,"DRIVER","confident",0
3,"DRIVER","fear",0
3,"DRIVER","joy",0
3,"DRIVER","sadness",0
3,"DRIVER","tentative",0
3,"FATHER","analytical",0
3,"FATHER","anger",0
3,"FATHER","confident",0
3,"FATHER","fear",0
3,"FATHER","joy",0
3,"FATHER","sadness",0
3,"FATHER","tentative",0
3,"FATMAN","analytical",0
3,"FATMAN","anger",0
3,"FATMAN","confident",0
3,"FATMAN","fear",0
3,"FATMAN","joy",1.333323
3,"FATMAN","sadness",0
3,"FATMAN","tentative",0
3,"GIFFORD","analytical",0
3,"GIFFORD","anger",0
3,"GIFFORD","confident",0
3,"GIFFORD","fear",0
3,"GIFFORD","joy",0
3,"GIFFORD","sadness",0
3,"GIFFORD","tentative",0
3,"JOGGER","analytical",0
3,"JOGGER","anger",0
3,"JOGGER","confident",0
3,"JOGGER","fear",0
3,"JOGGER","joy",0
3,"JOGGER","sadness",0
3,"JOGGER","tentative",0
3,"LEADER","analytical",0
3,"LEADER","anger",0
3,"LEADER","confident",0
3,"LEADER","fear",0
3,"LEADER","joy",0
3,"LEADER","sadness",0
3,"LEADER","tentative",0
3,"LEON","analytical",0
3,"LEON","anger",0
3,"LEON","confident",0
3,"LEON","fear",0
3,"LEON","joy",0
3,"LEON","sadness",0
3,"LEON","tentative",0
3,"MALKY","analytical",0
3,"MALKY","anger",0
3,"MALKY","confident",0
3,"MALKY","fear",0
3,"MALKY","joy",0
3,"MALKY","sadness",0
3,"MALKY","tentative",0
3,"MATHILDA","analytical",0
3,"MATHILDA","anger",0
3,"MATHILDA","confident",0
3,"MATHILDA","fear",0
3,"MATHILDA","joy",0
3,"MATHILDA","sadness",0
3,"MATHILDA","tentative",0
3,"MEDIC","analytical",0
3,"MEDIC","anger",0
3,"MEDIC","confident",0
3,"MEDIC","fear",0
3,"MEDIC","joy",0
3,"MEDIC","sadness",0
3,"MEDIC","tentative",0
3,"MORIZIO","analytical",0
3,"MORIZIO","anger",0
3,"MORIZIO","confident",0
3,"MORIZIO","fear",0
3,"MORIZIO","joy",0
3,"MORIZIO","sadness",0
3,"MORIZIO","tentative",0
3,"MOTHER","analytical",0
3,"MOTHER","anger",0
3,"MOTHER","confident",0
3,"MOTHER","fear",0
3,"MOTHER","joy",0
3,"MOTHER","sadness",0
3,"MOTHER","tentative",0
3,"PIGGY","analytical",0
3,"PIGGY","anger",0
3,"PIGGY","confident",0
3,"PIGGY","fear",0
3,"PIGGY","joy",0
3,"PIGGY","sadness",0
3,"PIGGY","tentative",0
3,"SCENE","analytical",2.281406
3,"SCENE","anger",0
3,"SCENE","confident",0
3,"SCENE","fear",0
3,"SCENE","joy",1.677926
3,"SCENE","sadness",0
3,"SCENE","tentative",2.488315
3,"SISTER","analytical",0
3,"SISTER","anger",0
3,"SISTER","confident",0
3,"SISTER","fear",0
3,"SISTER","joy",0
3,"SISTER","sadness",0
3,"SISTER","tentative",0
3,"STANSFIELD","analytical",0
3,"STANSFIELD","anger",0
3,"STANSFIELD","confident",0
3,"STANSFIELD","fear",0
3,"STANSFIELD","joy",0
3,"STANSFIELD","sadness",0
3,"STANSFIELD","tentative",0
3,"TONY","analytical",0
3,"TONY","anger",0
3,"TONY","confident",0
3,"TONY","fear",0
3,"TONY","joy",0
3,"TONY","sadness",0
3,"TONY","tentative",0
3,"VOICE","analytical",0
3,"VOICE","anger",0
3,"VOICE","confident",0
3,"VOICE","fear",0
3,"VOICE","joy",0
3,"VOICE","sadness",0
3,"VOICE","tentative",0
4,"BLOND","analytical",0
4,"BLOND","anger",0
4,"BLOND","confident",0
4,"BLOND","fear",0
4,"BLOND","joy",0
4,"BLOND","sadness",0
4,"BLOND","tentative",0
4,"BODYGUARD","analytical",0
4,"BODYGUARD","anger",0
4,"BODYGUARD","confident",0
4,"BODYGUARD","fear",0
4,"BODYGUARD","joy",0
4,"BODYGUARD","sadness",0
4,"BODYGUARD","tentative",0
4,"BURT","analytical",0
4,"BURT","anger",0
4,"BURT","confident",0
4,"BURT","fear",0
4,"BURT","joy",0
4,"BURT","sadness",0
4,"BURT","tentative",0
4,"CHIEF","analytical",0
4,"CHIEF","anger",0
4,"CHIEF","confident",0
4,"CHIEF","fear",0
4,"CHIEF","joy",0
4,"CHIEF","sadness",0
4,"CHIEF","tentative",0
4,"COP","analytical",0
4,"COP","anger",0
4,"COP","confident",0
4,"COP","fear",0
4,"COP","joy",0
4,"COP","sadness",0
4,"COP","tentative",0
4,"DRIVER","analytical",0
4,"DRIVER","anger",0
4,"DRIVER","confident",0
4,"DRIVER","fear",0
4,"DRIVER","joy",0
4,"DRIVER","sadness",0
4,"DRIVER","tentative",0
4,"FATHER","analytical",0
4,"FATHER","anger",0
4,"FATHER","confident",0
4,"FATHER","fear",0
4,"FATHER","joy",0
4,"FATHER","sadness",0
4,"FATHER","tentative",0
4,"FATMAN","analytical",0
4,"FATMAN","anger",0
4,"FATMAN","confident",0
4,"FATMAN","fear",0
4,"FATMAN","joy",0
4,"FATMAN","sadness",0
4,"FATMAN","tentative",0
4,"GIFFORD","analytical",0
4,"GIFFORD","anger",0
4,"GIFFORD","confident",0
4,"GIFFORD","fear",0
4,"GIFFORD","joy",0
4,"GIFFORD","sadness",0
4,"GIFFORD","tentative",0
4,"JOGGER","analytical",0
4,"JOGGER","anger",0
4,"JOGGER","confident",0
4,"JOGGER","fear",0
4,"JOGGER","joy",0
4,"JOGGER","sadness",0
4,"JOGGER","tentative",0
4,"LEADER","analytical",0
4,"LEADER","anger",0
4,"LEADER","confident",0
4,"LEADER","fear",0
4,"LEADER","joy",0
4,"LEADER","sadness",0
4,"LEADER","tentative",0
4,"LEON","analytical",0
4,"LEON","anger",0
4,"LEON","confident",0
4,"LEON","fear",0
4,"LEON","joy",0
4,"LEON","sadness",0
4,"LEON","tentative",0
4,"MALKY","analytical",0
4,"MALKY","anger",0
4,"MALKY","confident",0
4,"MALKY","fear",0
4,"MALKY","joy",0
4,"MALKY","sadness",0
4,"MALKY","tentative",0
4,"MATHILDA","analytical",0
4,"MATHILDA","anger",0
4,"MATHILDA","confident",0
4,"MATHILDA","fear",0
4,"MATHILDA","joy",0
4,"MATHILDA","sadness",0
4,"MATHILDA","tentative",0
4,"MEDIC","analytical",0
4,"MEDIC","anger",0
4,"MEDIC","confident",0
4,"MEDIC","fear",0
4,"MEDIC","joy",0
4,"MEDIC","sadness",0
4,"MEDIC","tentative",0
4,"MORIZIO","analytical",0
4,"MORIZIO","anger",0
4,"MORIZIO","confident",0
4,"MORIZIO","fear",0
4,"MORIZIO","joy",0
4,"MORIZIO","sadness",0
4,"MORIZIO","tentative",0
4,"MOTHER","analytical",0
4,"MOTHER","anger",0
4,"MOTHER","confident",0
4,"MOTHER","fear",0
4,"MOTHER","joy",0
4,"MOTHER","sadness",0
4,"MOTHER","tentative",0
4,"PIGGY","analytical",0
4,"PIGGY","anger",0
4,"PIGGY","confident",0
4,"PIGGY","fear",0
4,"PIGGY","joy",0
4,"PIGGY","sadness",0
4,"PIGGY","tentative",0
4,"SCENE","analytical",0
4,"SCENE","anger",0
4,"SCENE","confident",0
4,"SCENE","fear",0
4,"SCENE","joy",0
4,"SCENE","sadness",0
4,"SCENE","tentative",0
4,"SISTER","analytical",0
4,"SISTER","anger",0
4,"SISTER","confident",0
4,"SISTER","fear",0
4,"SISTER","joy",0
4,"SISTER","sadness",0
4,"SISTER","tentative",0
4,"STANSFIELD","analytical",0
4,"STANSFIELD","anger",0
4,"STANSFIELD","confident",0
4,"STANSFIELD","fear",0
4,"STANSFIELD","joy",0
4,"STANSFIELD","sadness",0
4,"STANSFIELD","tentative",0
4,"TONY","analytical",0
4,"TONY","anger",0
4,"TONY","confident",0
4,"TONY","fear",0
4,"TONY","joy",0
4,"TONY","sadness",0
4,"TONY","tentative",0
4,"VOICE","analytical",0
4,"VOICE","anger",0
4,"VOICE","confident",0
4,"VOICE","fear",0
4,"VOICE","joy",0
4,"VOICE","sadness",0
4,"VOICE","tentative",0
5,"BLOND","analytical",0
5,"BLOND","anger",0
5,"BLOND","confident",0
5,"BLOND","fear",0
5,"BLOND","joy",0
5,"BLOND","sadness",0
5,"BLOND","tentative",0
5,"BODYGUARD","analytical",1.518719
5,"BODYGUARD","anger",1.843775
5,"BODYGUARD","confident",2.524214
5,"BODYGUARD","fear",0.558504
5,"BODYGUARD","joy",0
5,"BODYGUARD","sadness",0
5,"BODYGUARD","tentative",0.615352
5,"BURT","analytical",0
5,"BURT","anger",0
5,"BURT","confident",0
5,"BURT","fear",0
5,"BURT","joy",0
5,"BURT","sadness",0
5,"BURT","tentative",0
5,"CHIEF","analytical",0
5,"CHIEF","anger",0
5,"CHIEF","confident",0
5,"CHIEF","fear",0
5,"CHIEF","joy",0
5,"CHIEF","sadness",0
5,"CHIEF","tentative",0
5,"COP","analytical",0
5,"COP","anger",0
5,"COP","confident",0
5,"COP","fear",0
5,"COP","joy",0
5,"COP","sadness",0
5,"COP","tentative",0
5,"DRIVER","analytical",0
5,"DRIVER","anger",0
5,"DRIVER","confident",0
5,"DRIVER","fear",0
5,"DRIVER","joy",0
5,"DRIVER","sadness",0
5,"DRIVER","tentative",0
5,"FATHER","analytical",0
5,"FATHER","anger",0
5,"FATHER","confident",0
5,"FATHER","fear",0
5,"FATHER","joy",0
5,"FATHER","sadness",0
5,"FATHER","tentative",0
5,"FATMAN","analytical",0
5,"FATMAN","anger",3.300887
5,"FATMAN","confident",0
5,"FATMAN","fear",0
5,"FATMAN","joy",0
5,"FATMAN","sadness",0.916667
5,"FATMAN","tentative",0
5,"GIFFORD","analytical",0
5,"GIFFORD","anger",0
5,"GIFFORD","confident",0
5,"GIFFORD","fear",0
5,"GIFFORD","joy",0
5,"GIFFORD","sadness",0
5,"GIFFORD","tentative",0
5,"JOGGER","analytical",0
5,"JOGGER","anger",0
5,"JOGGER","confident",0
5,"JOGGER","fear",0
5,"JOGGER","joy",0
5,"JOGGER","sadness",0
5,"JOGGER","tentative",0
5,"LEADER","analytical",0
5,"LEADER","anger",0
5,"LEADER","confident",0
5,"LEADER","fear",0
5,"LEADER","joy",0
5,"LEADER","sadness",0
5,"LEADER","tentative",0
5,"LEON","analytical",0
5,"LEON","anger",0
5,"LEON","confident",0
5,"LEON","fear",0
5,"LEON","joy",0
5,"LEON","sadness",0
5,"LEON","tentative",0
5,"MALKY","analytical",0
5,"MALKY","anger",0
5,"MALKY","confident",0
5,"MALKY","fear",0
5,"MALKY","joy",0
5,"MALKY","sadness",0
5,"MALKY","tentative",0
5,"MATHILDA","analytical",0
5,"MATHILDA","anger",0
5,"MATHILDA","confident",0
5,"MATHILDA","fear",0
5,"MATHILDA","joy",0
5,"MATHILDA","sadness",0
5,"MATHILDA","tentative",0
5,"MEDIC","analytical",0
5,"MEDIC","anger",0
5,"MEDIC","confident",0
5,"MEDIC","fear",0
5,"MEDIC","joy",0
5,"MEDIC","sadness",0
5,"MEDIC","tentative",0
5,"MORIZIO","analytical",0
5,"MORIZIO","anger",0
5,"MORIZIO","confident",0
5,"MORIZIO","fear",0
5,"MORIZIO","joy",0
5,"MORIZIO","sadness",0
5,"MORIZIO","tentative",0
5,"MOTHER","analytical",0
5,"MOTHER","anger",0
5,"MOTHER","confident",0
5,"MOTHER","fear",0
5,"MOTHER","joy",0
5,"MOTHER","sadness",0
5,"MOTHER","tentative",0
5,"PIGGY","analytical",0
5,"PIGGY","anger",0
5,"PIGGY","confident",0
5,"PIGGY","fear",0
5,"PIGGY","joy",0
5,"PIGGY","sadness",0
5,"PIGGY","tentative",0
5,"SCENE","analytical",8.5253
5,"SCENE","anger",1.835823
5,"SCENE","confident",1.657878
5,"SCENE","fear",5.628269
5,"SCENE","joy",1.383231
5,"SCENE","sadness",4.51784
5,"SCENE","tentative",4.276844
5,"SISTER","analytical",0
5,"SISTER","anger",0
5,"SISTER","confident",0
5,"SISTER","fear",0
5,"SISTER","joy",0
5,"SISTER","sadness",0
5,"SISTER","tentative",0
5,"STANSFIELD","analytical",0
5,"STANSFIELD","anger",0
5,"STANSFIELD","confident",0
5,"STANSFIELD","fear",0
5,"STANSFIELD","joy",0
5,"STANSFIELD","sadness",0
5,"STANSFIELD","tentative",0
5,"TONY","analytical",0
5,"TONY","anger",0
5,"TONY","confident",0
5,"TONY","fear",0
5,"TONY","joy",0
5,"TONY","sadness",0
5,"TONY","tentative",0
5,"VOICE","analytical",0
5,"VOICE","anger",0
5,"VOICE","confident",0
5,"VOICE","fear",0
5,"VOICE","joy",0
5,"VOICE","sadness",0
5,"VOICE","tentative",0
6,"BLOND","analytical",0
6,"BLOND","anger",0
6,"BLOND","confident",0
6,"BLOND","fear",0
6,"BLOND","joy",0
6,"BLOND","sadness",0
6,"BLOND","tentative",0
6,"BODYGUARD","analytical",0
6,"BODYGUARD","anger",0
6,"BODYGUARD","confident",0
6,"BODYGUARD","fear",0
6,"BODYGUARD","joy",0
6,"BODYGUARD","sadness",0
6,"BODYGUARD","tentative",0
6,"BURT","analytical",0
6,"BURT","anger",0
6,"BURT","confident",0
6,"BURT","fear",0
6,"BURT","joy",0
6,"BURT","sadness",0
6,"BURT","tentative",0
6,"CHIEF","analytical",0
6,"CHIEF","anger",0
6,"CHIEF","confident",0
6,"CHIEF","fear",0
6,"CHIEF","joy",0
6,"CHIEF","sadness",0
6,"CHIEF","tentative",0
6,"COP","analytical",0
6,"COP","anger",0
6,"COP","confident",0
6,"COP","fear",0
6,"COP","joy",0
6,"COP","sadness",0
6,"COP","tentative",0
6,"DRIVER","analytical",0
6,"DRIVER","anger",0
6,"DRIVER","confident",0
6,"DRIVER","fear",0
6,"DRIVER","joy",0
6,"DRIVER","sadness",0
6,"DRIVER","tentative",0
6,"FATHER","analytical",0
6,"FATHER","anger",0
6,"FATHER","confident",0
6,"FATHER","fear",0
6,"FATHER","joy",0
6,"FATHER","sadness",0
6,"FATHER","tentative",0
6,"FATMAN","analytical",0
6,"FATMAN","anger",0
6,"FATMAN","confident",0
6,"FATMAN","fear",0
6,"FATMAN","joy",0
6,"FATMAN","sadness",0
6,"FATMAN","tentative",0
6,"GIFFORD","analytical",0
6,"GIFFORD","anger",0
6,"GIFFORD","confident",0
6,"GIFFORD","fear",0
6,"GIFFORD","joy",0
6,"GIFFORD","sadness",0
6,"GIFFORD","tentative",0
6,"JOGGER","analytical",0
6,"JOGGER","anger",0
6,"JOGGER","confident",0
6,"JOGGER","fear",0
6,"JOGGER","joy",0
6,"JOGGER","sadness",0
6,"JOGGER","tentative",0
6,"LEADER","analytical",0
6,"LEADER","anger",0
6,"LEADER","confident",0
6,"LEADER","fear",0
6,"LEADER","joy",0
6,"LEADER","sadness",0
6,"LEADER","tentative",0
6,"LEON","analytical",0
6,"LEON","anger",0
6,"LEON","confident",0
6,"LEON","fear",0
6,"LEON","joy",0
6,"LEON","sadness",0
6,"LEON","tentative",0
6,"MALKY","analytical",0
6,"MALKY","anger",0
6,"MALKY","confident",0
6,"MALKY","fear",0
6,"MALKY","joy",0
6,"MALKY","sadness",0
6,"MALKY","tentative",0
6,"MATHILDA","analytical",0
6,"MATHILDA","anger",0
6,"MATHILDA","confident",0
6,"MATHILDA","fear",0
6,"MATHILDA","joy",0
6,"MATHILDA","sadness",0
6,"MATHILDA","tentative",0
6,"MEDIC","analytical",0
6,"MEDIC","anger",0
6,"MEDIC","confident",0
6,"MEDIC","fear",0
6,"MEDIC","joy",0
6,"MEDIC","sadness",0
6,"MEDIC","tentative",0
6,"MORIZIO","analytical",0
6,"MORIZIO","anger",0
6,"MORIZIO","confident",0
6,"MORIZIO","fear",0
6,"MORIZIO","joy",0
6,"MORIZIO","sadness",0
6,"MORIZIO","tentative",0
6,"MOTHER","analytical",0
6,"MOTHER","anger",0
6,"MOTHER","confident",0
6,"MOTHER","fear",0
6,"MOTHER","joy",0
6,"MOTHER","sadness",0
6,"MOTHER","tentative",0
6,"PIGGY","analytical",0
6,"PIGGY","anger",0
6,"PIGGY","confident",0
6,"PIGGY","fear",0
6,"PIGGY","joy",0
6,"PIGGY","sadness",0
6,"PIGGY","tentative",0
6,"SCENE","analytical",0
6,"SCENE","anger",0
6,"SCENE","confident",0
6,"SCENE","fear",0
6,"SCENE","joy",0
6,"SCENE","sadness",0
6,"SCENE","tentative",2.662321
6,"SISTER","analytical",0
6,"SISTER","anger",0
6,"SISTER","confident",0
6,"SISTER","fear",0
6,"SISTER","joy",0
6,"SISTER","sadness",0
6,"SISTER","tentative",0
6,"STANSFIELD","analytical",0
6,"STANSFIELD","anger",0
6,"STANSFIELD","confident",0
6,"STANSFIELD","fear",0
6,"STANSFIELD","joy",0
6,"STANSFIELD","sadness",0
6,"STANSFIELD","tentative",0
6,"TONY","analytical",0
6,"TONY","anger",0
6,"TONY","confident",0
6,"TONY","fear",0
6,"TONY","joy",0
6,"TONY","sadness",0
6,"TONY","tentative",0
6,"VOICE","analytical",0
6,"VOICE","anger",0
6,"VOICE","confident",0
6,"VOICE","fear",0
6,"VOICE","joy",0
6,"VOICE","sadness",0
6,"VOICE","tentative",0
7,"BLOND","analytical",0
7,"BLOND","anger",0
7,"BLOND","confident",0
7,"BLOND","fear",0
7,"BLOND","joy",0
7,"BLOND","sadness",0
