"Team","Pts","FastBreakPts","Opp.FBPts","PointsInPaint","Opp.PiP","PointsOffTO","Opp.PoT","X2ndChancePTS","Opp.2ndCh.PTS","LeadChanges","TimesTied","Season","SeasonType","MatchCount","IsNBAChampion","year"
"Minnesota Timberwolves",98.183,15.1,17.87,43.59,44.61,19.61,15.6,14.54,13.38,6.38,4.94,"2009-2010","REG",82,0,2010
"New Jersey Nets",92.378,12.91,16.52,40.17,44.9,16.45,15.04,11.91,13.88,5.82,5.02,"2009-2010","REG",82,0,2010
"New Orleans Hornets",100.244,15.07,14.35,42.73,45.2,15.88,16.8,13.01,13.38,7.46,6.13,"2009-2010","REG",82,0,2010
"New York Knicks",102.11,9.91,12.74,40.22,47.2,15.73,15.49,12.8,14.1,6.24,5.22,"2009-2010","REG",82,0,2010
"Oklahoma City Thunder",101.488,15.7,12.54,43.02,44.05,16.15,17.89,13.94,14.32,7.46,6.26,"2009-2010","REG",82,0,2010
"Orlando Magic",102.756,12.09,11.2,38.71,36.59,16.23,14.35,12.7,11.72,5.94,4.85,"2009-2010","REG",82,0,2010
"Philadelphia 76ers",97.732,18.85,13.73,41.73,42.54,16.34,16.18,13.56,12.7,7.71,6.4,"2009-2010","REG",82,0,2010
"Phoenix Suns",110.232,15.96,15.33,45.37,43.78,17.17,14.72,13.77,16.1,7.56,6.06,"2009-2010","REG",82,0,2010
"Portland Trailblazers",98.11,9.45,11.21,36.49,40.88,14.09,16.21,13.85,12.9,6.45,5.54,"2009-2010","REG",82,0,2010
"Sacramento Kings",100,15.02,14.96,44.76,44.98,16.78,16.18,14.5,13.84,8.05,6.82,"2009-2010","REG",82,0,2010
"San Antonio Spurs",101.366,12.52,14.73,43.32,41.02,15.63,14.66,12.9,12.61,6.82,5.06,"2009-2010","REG",82,0,2010
"Toronto Raptors",104.073,14.8,17.22,42.29,42.39,15.5,15.51,12.51,13.52,7.11,6.45,"2009-2010","REG",82,0,2010
"Utah Jazz",104.232,15.3,15.05,48.59,39.95,17.11,18.35,13.18,12.17,5.65,5.1,"2009-2010","REG",82,0,2010
"Washington Wizards",96.244,10.8,13.79,37.78,41.63,17.07,14.77,13.67,13.49,6.74,6.33,"2009-2010","REG",82,0,2010
"Atlanta Hawks",89.455,10.55,9.18,35.09,38.55,15.64,12.91,14.36,13.91,4.09,3.91,"2009-2010","POFF",11,0,2010
"Boston Celtics",93.875,13.08,8.29,37.83,37.33,15.96,17.13,10.33,12.25,5.88,4.92,"2009-2010","POFF",24,0,2010
"Charlotte Bobcats",85.5,8.25,11,35,26.5,14.5,16,9.75,8.5,6.25,5.25,"2009-2010","POFF",4,0,2010
"Chicago Bulls",97,15.8,15.2,37.6,38,8.6,13.4,15.8,10,9.6,4.4,"2009-2010","POFF",5,0,2010
"Cleveland Cavaliers",100.182,12.91,14.36,40.36,40.18,15.73,12.18,9.45,15.82,6.09,4.36,"2009-2010","POFF",11,0,2010
"Dallas Mavericks",92.833,14.67,12.67,34.67,41,15,14.5,11.5,14.5,3.67,2.5,"2009-2010","POFF",6,0,2010
"Denver Nuggets",109.333,15.17,12.83,49,44.33,16.83,18.17,10.33,12.17,10,11,"2009-2010","POFF",6,0,2010
"Los Angeles Lakers",101.087,7.04,11.87,41.48,38.43,13.35,14.39,15.26,12,6.87,5.78,"2009-2010","POFF",23,1,2010
"Miami Heat",87.6,6.2,17.8,34,36,23.2,17.2,10.8,7.6,6.6,6,"2009-2010","POFF",5,0,2010
"Milwaukee Bucks",90,8.43,11.86,37.14,37.14,13.86,14.86,14.14,13.29,4,4,"2009-2010","POFF",7,0,2010
"Oklahoma City Thunder",93.833,15.33,5.67,33.67,40.67,13,12.17,14.83,14.5,5.17,4.5,"2009-2010","POFF",6,0,2010
"Orlando Magic",96.571,10.29,10,34.71,32.57,14.71,16.07,11.93,10.86,5.36,4.07,"2009-2010","POFF",14,0,2010
"Phoenix Suns",107.125,10.63,10.81,38.5,39.75,15,12.88,13.06,14.13,4.75,6.13,"2009-2010","POFF",16,0,2010
"Portland Trailblazers",93,10.33,10.5,33,40,11,14.5,15.17,17.17,4.33,5.17,"2009-2010","POFF",6,0,2010
"San Antonio Spurs",96.1,14,14,42.6,37.4,14.8,14.6,12.3,11.3,3.7,4,"2009-2010","POFF",10,0,2010
"Utah Jazz",107.1,13.1,12.8,45.4,49,15.8,16.4,13.1,12,9.6,8.9,"2009-2010","POFF",10,0,2010
"Atlanta Hawks",95,14.27,14.15,36.93,40.51,15.16,14.24,11.4,12.76,5.55,4.43,"2010-2011","REG",82,0,2011
"Boston Celtics",96.5,12.52,11.22,41.46,36.98,15.07,16.16,9.55,12.55,7.17,5.55,"2010-2011","REG",82,0,2011
"Charlotte Bobcats",93.293,11.91,14.27,41.1,39.83,16.54,14.78,12.39,12.78,5.66,4.94,"2010-2011","REG",82,0,2011
"Chicago Bulls",98.622,13.51,13,41.88,36.2,15.16,15.71,15.04,11.85,6.04,5.39,"2010-2011","REG",82,0,2011
"Cleveland Cavaliers",95.451,14.13,14.22,40.37,42.22,15.85,14.1,12.96,13.17,5.94,4.95,"2010-2011","REG",82,0,2011
"Dallas Mavericks",100.244,14.82,13.93,37.15,42.02,15.37,15.23,11.55,12.6,7.07,5.61,"2010-2011","REG",82,1,2011
"Denver Nuggets",107.451,14.07,12.17,44.37,41.22,15.63,16.26,12.66,13.22,6.59,5.37,"2010-2011","REG",82,0,2011
"Detroit Pistons",96.963,13.12,15.72,40.63,43.95,16.26,16.46,13.85,13.93,7.13,5.85,"2010-2011","REG",82,0,2011
"Golden State Warriors",103.378,18.8,19.32,42.61,45.51,17.6,19.59,13.11,14.4,7.27,5.85,"2010-2011","REG",82,0,2011
"Houston Rockets",105.915,15.02,14.66,42.95,45.9,14.95,16.84,14.29,14.28,7.91,6.6,"2010-2011","REG",82,0,2011
"Indiana Pacers",99.793,13.87,13.26,38.46,38.98,17.15,15.3,13.6,12.9,6.21,5.21,"2010-2011","REG",82,0,2011
"Los Angeles Clippers",98.646,14.62,14.22,45.54,40.98,19.07,16.29,14.05,13.21,6.61,5.84,"2010-2011","REG",82,0,2011
"Los Angeles Lakers",101.476,11.56,13.73,44.54,39.85,14.67,15.24,14.99,13.83,7.02,5.89,"2010-2011","REG",82,0,2011
"Memphis Grizzlies",99.939,16.56,15.02,51.39,40.34,15.28,19.52,14.71,12.7,6.24,5.46,"2010-2011","REG",82,0,2011
"Miami Heat",102.061,14.23,13.02,37.98,38.63,15.48,16.07,11.85,12.77,5.4,4.68,"2010-2011","REG",82,0,2011
"Milwaukee Bucks",91.878,10.05,12.09,35.68,37.54,14.83,16.63,11.95,11.88,5.99,5.18,"2010-2011","REG",82,0,2011
"Minnesota Timberwolves",101.073,11.91,17.09,40.56,41.76,20.02,16.33,16.16,14.22,6.56,5.45,"2010-2011","REG",82,0,2011
"New Jersey Nets",94.171,11.32,13.32,38.98,41.46,15.94,13.35,12.72,13.01,6.89,5.83,"2010-2011","REG",82,0,2011
"New Orleans Hornets",94.927,11.23,11.73,37.59,38.1,14.56,16.37,12.04,10.51,6.17,5.87,"2010-2011","REG",82,0,2011
"New York Knicks",106.512,13.37,12.71,40.85,46,16.06,17.79,12.44,14.51,7.17,6.22,"2010-2011","REG",82,0,2011
"Oklahoma City Thunder",104.829,16.16,12.33,42.71,44.88,15.39,16.94,13.37,14.35,7.28,6.39,"2010-2011","REG",82,0,2011
"Orlando Magic",99.207,11.18,10.66,37.24,35.44,16.51,15.1,12.77,11.49,7.3,5.83,"2010-2011","REG",82,0,2011
"Philadelphia 76ers",99.012,17.6,13.33,41.34,41,14.68,16.44,12.11,12.2,6.57,5.72,"2010-2011","REG",82,0,2011
"Phoenix Suns",105.012,13.83,14.02,41.83,43.8,16.79,15.87,12.18,14.06,6.57,5.49,"2010-2011","REG",82,0,2011
"Portland Trailblazers",96.293,10.07,11.41,40.59,40.17,14.95,17.43,14.12,13.3,7.55,5.84,"2010-2011","REG",82,0,2011
"Sacramento Kings",99.402,15.32,17.8,45.07,46,18.91,17,15.55,12.83,7.09,5.87,"2010-2011","REG",82,0,2011
"San Antonio Spurs",103.683,15.29,14.04,42.34,41.2,15.33,15.87,11.44,13.23,6.61,5.46,"2010-2011","REG",82,0,2011
"Toronto Raptors",99.073,17.99,16.7,45.15,47.41,17.71,15.84,13.01,13.91,7.01,6.12,"2010-2011","REG",82,0,2011
"Utah Jazz",99.427,13.99,13.06,43.39,40.29,16.62,15.9,13.29,12.91,6.06,5.6,"2010-2011","REG",82,0,2011
"Washington Wizards",97.28,16.48,16.63,41.59,44.07,18.1,16.99,14.26,14.04,6.45,5.41,"2010-2011","REG",82,0,2011
"Atlanta Hawks",86.25,9.75,11.17,36,39.83,13.75,13.17,10.67,13.83,5.33,4.5,"2010-2011","POFF",12,0,2011
"Boston Celtics",94.667,12.33,8.33,33.78,35.33,19.22,16.89,10.89,13.44,7.67,6.78,"2010-2011","POFF",9,0,2011
"Chicago Bulls",92.5,13,11.56,37.5,37,16.63,17.31,14.75,10.69,5.44,6.19,"2010-2011","POFF",16,0,2011
"Dallas Mavericks",98.238,10.76,12.76,34,41.81,14.24,15,11.81,11.81,6.29,5.71,"2010-2011","POFF",21,1,2011
"Denver Nuggets",97.4,11.4,11.2,34,30.4,12,12.6,10.2,15.6,10,8.6,"2010-2011","POFF",5,0,2011
"Indiana Pacers",90.2,12.2,11.2,34,34.4,19.6,21.2,12.8,15.8,3.4,5.8,"2010-2011","POFF",5,0,2011
"Los Angeles Lakers",93.2,9.3,10.6,44.4,35.8,13.9,13.7,13.7,8.4,5.2,4.9,"2010-2011","POFF",10,0,2011
"Memphis Grizzlies",98.615,10.62,15.69,45.54,40.62,16.15,15.31,17.15,13.15,5.69,5.85,"2010-2011","POFF",13,0,2011
"Miami Heat",92.762,10.76,13.57,35.62,34.19,15.9,16.48,11.33,12.57,6.9,6.81,"2010-2011","POFF",21,0,2011
"New Orleans Hornets",89.333,9.5,8.33,38,42.67,13.5,15.83,9,15.33,5.5,5.67,"2010-2011","POFF",6,0,2011
"New York Knicks",90.75,6.75,12.25,32.5,34,17.25,18,16.75,15,8.75,8,"2010-2011","POFF",4,0,2011
"Oklahoma City Thunder",102.471,15.35,10.41,39.18,40.47,16,13.59,15.24,14.59,6.65,5.88,"2010-2011","POFF",17,0,2011
"Orlando Magic",88.667,10,8.33,38,30.67,14.17,12,16.33,10,5.33,4.33,"2010-2011","POFF",6,0,2011
"Philadelphia 76ers",86.6,13.4,9.8,36,32,11.8,11.2,11.6,15.8,4,4,"2010-2011","POFF",5,0,2011
"Portland Trailblazers",88.167,12.17,7.33,40,32.33,11.5,12.83,9.83,13,5.67,5.5,"2010-2011","POFF",6,0,2011
"San Antonio Spurs",94.333,13.17,12.17,39.67,45.33,13.83,17.67,11.33,14.5,6.17,6.5,"2010-2011","POFF",6,0,2011
"Atlanta Hawks",96.591,15.88,11.97,39.85,40.52,16,17.15,12.45,12.62,6.12,4.58,"2011-2012","REG",66,0,2012
"Boston Celtics",91.848,12.02,11.5,34.97,39.85,16.17,16.29,9.86,13.58,4.29,4.53,"2011-2012","REG",66,0,2012
"Charlotte Bobcats",86.955,12.74,16.03,35.21,48.33,17.23,14.29,11.41,15.41,4.33,4.11,"2011-2012","REG",66,0,2012
"Chicago Bulls",96.348,13.59,12.09,40.03,38.18,15.41,14.8,15.82,11.92,5.02,4.03,"2011-2012","REG",66,0,2012
"Cleveland Cavaliers",93.03,10.5,11.65,41.94,43.61,16.8,14.41,13.24,14.47,6.64,5.71,"2011-2012","REG",66,0,2012
"Dallas Mavericks",95.788,11.94,14.42,37.33,38.94,15.76,16.97,10.92,12.27,5.45,4.79,"2011-2012","REG",66,0,2012
"Denver Nuggets",104.121,19.8,12.23,53.36,39.45,17.35,18.86,13.36,12.59,7.14,6.09,"2011-2012","REG",66,0,2012
"Detroit Pistons",90.864,13.48,14.05,41.42,40.12,18.41,15.73,13.52,12.18,5.42,4.7,"2011-2012","REG",66,0,2012
"Golden State Warriors",97.773,13.05,14.39,38.06,43.09,16.18,16.11,11.03,15.3,7.53,6.36,"2011-2012","REG",66,0,2012
"Houston Rockets",98.091,13.62,13.65,40.91,44.55,16.67,16.91,13.42,13.35,6.83,5.91,"2011-2012","REG",66,0,2012
"Indiana Pacers",97.712,13.11,12.45,41.21,38.06,15.14,16.47,14.91,12.98,6.09,5.44,"2011-2012","REG",66,0,2012
"Los Angeles Clippers",97.545,11,12.27,39.15,38.58,15.09,17.42,14.42,12.89,6.67,5.82,"2011-2012","REG",66,0,2012
"Los Angeles Lakers",97.303,9.36,15.12,42.55,40.42,16.56,12.44,13.79,12.71,6.71,5.5,"2011-2012","REG",66,0,2012
"Memphis Grizzlies",94.985,15.65,12.11,45.12,40.33,16,19.74,14.64,12.55,6.62,5.7,"2011-2012","REG",66,0,2012
"Miami Heat",98.485,13.67,11.92,42.52,36.64,16.56,19.65,12.53,13.11,5.82,4.98,"2011-2012","REG",66,1,2012
"Milwaukee Bucks",99.015,14.03,13.39,41.61,41.39,16.47,18.05,14.41,13.82,7.06,5.67,"2011-2012","REG",66,0,2012
"Minnesota Timberwolves",97.939,10.35,15.79,40.82,44.09,18.42,14.21,14.7,13.98,5.71,5.33,"2011-2012","REG",66,0,2012
"New Jersey Nets",93.091,11.12,14.8,33.48,44.18,17.73,16.02,12.91,13.58,5.2,4.26,"2011-2012","REG",66,0,2012
"New Orleans Hornets",89.636,8.97,12.88,40.21,40.88,17.67,15.26,12.3,13.35,6.97,5.65,"2011-2012","REG",66,0,2012
"New York Knicks",97.848,12.33,12.41,40.45,38.91,17.8,18.76,13.55,12.62,5.68,4.53,"2011-2012","REG",66,0,2012
"Oklahoma City Thunder",103.061,16.06,12.35,41.88,42.36,16.7,16.08,13.15,14.73,5.98,5.18,"2011-2012","REG",66,0,2012
"Orlando Magic",93.877,9.77,10.89,37.29,37.38,16.22,15.11,12.75,11.78,5.94,4.52,"2011-2012","REG",65,0,2012
"Philadelphia 76ers",93.538,15.43,10.15,38.86,36.28,11.62,16.35,12.4,11.68,5.74,5.18,"2011-2012","REG",65,0,2012
"Phoenix Suns",98.364,12.68,12.58,40.42,43.42,15.18,15.08,12.17,14.17,6.48,5.3,"2011-2012","REG",66,0,2012
"Portland Trailblazers",97.197,10.92,14.33,38.94,42.24,16.06,15.95,13.68,13.44,4.59,4.59,"2011-2012","REG",66,0,2012
"Sacramento Kings",98.758,18.71,17.11,48.45,48.21,17.83,17.94,14.94,14.44,7.17,5.59,"2011-2012","REG",66,0,2012
"San Antonio Spurs",103.652,13.7,13.95,45.24,40.52,15.18,16,12.58,11.14,6.08,4.82,"2011-2012","REG",66,0,2012
"Toronto Raptors",90.697,9.68,12.55,37.03,37.58,15.41,15.05,12.15,12.38,5.41,4.83,"2011-2012","REG",66,0,2012
"Utah Jazz",99.652,16.86,14.38,49.79,42.33,15.32,16.65,15.47,12.24,8.48,7.05,"2011-2012","REG",66,0,2012
"Washington Wizards",93.636,17.94,14.48,43.03,40.67,18.21,17.45,13.33,14.52,5.27,4.36,"2011-2012","REG",66,0,2012
"Atlanta Hawks",82.167,13.83,14,37,34,16,14,8,9.17,6.83,6.17,"2011-2012","POFF",6,0,2012
"Boston Celtics",89.5,12.1,12.3,36.2,38.9,13.8,13.75,10.15,11.25,6.6,5.55,"2011-2012","POFF",20,0,2012
"Chicago Bulls",84.333,11.17,17.67,31.67,31.33,17.83,12,14.17,10.67,9,5.5,"2011-2012","POFF",6,0,2012
"Dallas Mavericks",93.25,8.25,13.5,32,35,16.5,15.25,11.25,6.5,10.5,8.25,"2011-2012","POFF",4,0,2012
"Denver Nuggets",96.714,19.57,11,51.43,44,13.71,14.14,16.14,19.57,5,4.29,"2011-2012","POFF",7,0,2012
"Indiana Pacers",90.909,11.64,8.55,39.09,36.55,14.73,15.82,16.55,12.27,5.09,5.09,"2011-2012","POFF",11,0,2012
"Los Angeles Clippers",90.909,11.18,11.09,36.73,42.73,14.45,18,10.18,14,7.55,4.45,"2011-2012","POFF",11,0,2012
"Los Angeles Lakers",94,9.17,19.58,43.5,47.17,15.25,13.17,17.08,15,7.75,6.17,"2011-2012","POFF",12,0,2012
"Memphis Grizzlies",91.429,11.29,11.71,40.57,36.57,16.71,15.86,15.14,10.57,7.14,4,"2011-2012","POFF",7,0,2012
"Miami Heat",97.348,12.61,10.26,41.74,38.26,13.26,16.83,12.26,12.78,5.48,5,"2011-2012","POFF",23,1,2012
"New York Knicks",82.8,5.8,13.8,34,36,22.6,13.8,11.4,13.2,5.6,5.4,"2011-2012","POFF",5,0,2012
"Oklahoma City Thunder",101.25,16.4,8.8,39.2,40.5,13.85,16.6,10.8,12.55,7.7,5.8,"2011-2012","POFF",20,0,2012
"Orlando Magic",83.8,2.6,13.8,28,43.2,19,13.4,13.2,18.2,6,5,"2011-2012","POFF",5,0,2012
"Philadelphia 76ers",85.692,14.31,11.85,34.77,32.62,12.85,15.69,11.77,11.08,7.54,5.46,"2011-2012","POFF",13,0,2012
"San Antonio Spurs",102,12.79,14.64,44.86,37,17.36,13.86,12.14,11.5,5.57,3.71,"2011-2012","POFF",14,0,2012
"Utah Jazz",86.25,16.25,20.75,35.5,50,19,13.25,14.25,10.75,4,3.25,"2011-2012","POFF",4,0,2012
"Atlanta Hawks",97.951,17.7,11.95,41.2,40.98,16.74,17.05,10.68,13.22,7.43,5.59,"2012-2013","REG",82,0,2013
"Brooklyn Nets",96.878,9.02,13.85,41.41,43.39,16.91,15.84,14.16,12.43,6.3,5.1,"2012-2013","REG",82,0,2013
"Boston Celtics",96.519,13.31,12.11,38.05,42.67,16.9,16.67,9.94,14.26,5.79,5.68,"2012-2013","REG",81,0,2013
"Charlotte Bobcats",93.427,15.72,13.83,38.61,43.93,16.95,14.44,13.39,14,5.24,4.4,"2012-2013","REG",82,0,2013
"Chicago Bulls",93.183,10.2,13.06,39.83,39.27,15.39,15.01,14.91,12.68,5.99,4.93,"2012-2013","REG",82,0,2013
"Cleveland Cavaliers",96.5,10.16,13.06,39.78,42.54,16.17,16.93,14.88,13.66,6.52,5.7,"2012-2013","REG",82,0,2013
"Dallas Mavericks",101.134,16.18,13.99,40.51,41.12,17.09,16.16,10.66,13.6,6.57,5.37,"2012-2013","REG",82,0,2013
"Denver Nuggets",106.146,20.15,12.16,58.05,40.68,17.32,19.89,15.79,14.87,7.41,6.5,"2012-2013","REG",82,0,2013
"Detroit Pistons",94.854,13.87,13.48,46.54,42.9,17.79,15.4,13.95,13.51,6.27,4.82,"2012-2013","REG",82,0,2013
"Golden State Warriors",101.171,14.74,13.76,38.34,40.39,17.26,13.93,11.96,13.9,6.74,5.35,"2012-2013","REG",82,0,2013
"Houston Rockets",105.951,18.6,14.23,46.22,41.85,18.45,17.99,12.95,12.59,6,4.95,"2012-2013","REG",82,0,2013
"Indiana Pacers",94.741,11.78,10.07,39.88,35.53,16.02,15.2,14.52,12.95,5.93,5.04,"2012-2013","REG",81,0,2013
"Los Angeles Clippers",101.085,15.67,12.29,44.93,37.24,16,19.6,14.26,12.96,5.39,4.33,"2012-2013","REG",82,0,2013
"Los Angeles Lakers",102.207,10.24,15.91,42.02,44.15,16.67,15.49,13.76,13.76,7.05,5.35,"2012-2013","REG",82,0,2013
"Memphis Grizzlies",93.402,12.56,12.4,43.05,38.05,14.89,17.41,14.32,11.88,6.65,5.56,"2012-2013","REG",82,0,2013
"Miami Heat",102.878,11.93,11.93,41.49,39.93,15.68,18.59,10.41,14.73,6.45,5.44,"2012-2013","REG",82,1,2013
"Milwaukee Bucks",98.878,13.38,15.13,42.76,46.22,16.8,17.87,14.6,14.57,6.9,5.52,"2012-2013","REG",82,0,2013
"Minnesota Timberwolves",95.744,12.39,14.01,41,42.32,16.5,18.09,14.34,12.71,6.12,4.56,"2012-2013","REG",82,0,2013
"New Orleans Hornets",94.073,9.68,13.16,42.44,43.22,17.32,14.76,15.01,12.79,6.27,5.13,"2012-2013","REG",82,0,2013
"New York Knicks",99.951,8.79,12.07,33.73,39.66,13.51,17.82,13.2,12.39,6.57,5.3,"2012-2013","REG",82,0,2013
"Oklahoma City Thunder",105.72,16.7,12.48,42.59,40.73,16.68,18.13,12.51,13.56,5.57,4.99,"2012-2013","REG",82,0,2013
"Orlando Magic",94.122,9.94,12.59,43.66,42.76,16.78,14.05,13.18,12.72,6.18,5.48,"2012-2013","REG",82,0,2013
"Philadelphia 76ers",93.171,12.79,12.46,38.9,40.22,14.51,16.3,13.09,12.23,6.01,4.9,"2012-2013","REG",82,0,2013
"Phoenix Suns",95.183,13.46,14.89,40.44,45.56,18.61,16.11,13.33,13.51,5.98,5.39,"2012-2013","REG",82,0,2013
"Portland Trailblazers",97.5,9.91,14.56,37.39,47.44,17.18,15.13,14.12,13.4,5.95,4.93,"2012-2013","REG",82,0,2013
"Sacramento Kings",100.232,16.8,16.74,45.73,45.22,17.61,16.32,13.79,14.17,5.71,4.8,"2012-2013","REG",82,0,2013
"San Antonio Spurs",103.024,13.73,14.16,44.61,40.02,16.41,17.39,10.12,12.52,6.56,5.56,"2012-2013","REG",82,0,2013
"Toronto Raptors",97.207,9.91,11.85,38.49,42.46,15.54,16.89,13.45,13.21,6.46,5.62,"2012-2013","REG",82,0,2013
"Utah Jazz",98.024,14.17,13.44,42.93,42.63,16.89,17.43,14.66,12.48,5.82,4.9,"2012-2013","REG",82,0,2013
"Washington Wizards",93.22,14.16,11.98,36.61,38.1,16.84,15.56,11.91,12.63,6.63,5.35,"2012-2013","REG",82,0,2013
"Atlanta Hawks",89.333,11.67,7.5,35.67,40.33,11,14.83,10.67,12.5,4.33,3,"2012-2013","POFF",6,0,2013
"Brooklyn Nets",99.429,13.43,8.57,45.43,41.43,13.86,15.43,11.57,13.57,5.29,4.29,"2012-2013","POFF",7,0,2013
"Boston Celtics",82.333,13.17,8,29.33,31.33,18.67,12.5,7.33,10.33,3.67,4.17,"2012-2013","POFF",6,0,2013
"Chicago Bulls",91.917,7,13,37.17,41.67,17.75,12.75,13.33,10.75,5.92,5,"2012-2013","POFF",12,0,2013
"Denver Nuggets",103,13.33,14,47.33,41.33,17.67,19.83,15,15.5,8.5,5.67,"2012-2013","POFF",6,0,2013
"Golden State Warriors",102.667,11.08,12.5,39.67,43,18.67,14.08,14.83,13.83,7.17,5.25,"2012-2013","POFF",12,0,2013
"Houston Rockets",100,14.5,14.67,40,37,19.83,14.17,14.17,14.5,6.5,5.5,"2012-2013","POFF",6,0,2013
"Indiana Pacers",91.789,7.21,8.89,39.47,35.37,17.16,12.42,15.42,12.84,6.05,4.84,"2012-2013","POFF",19,0,2013
"Los Angeles Clippers",94.667,11.33,12.17,42.67,44.33,13.67,12.17,10.83,16.67,5.83,5.5,"2012-2013","POFF",6,0,2013
"Los Angeles Lakers",85.25,5.75,18,44.5,42.5,17.5,8.25,12,10.5,3,2.5,"2012-2013","POFF",4,0,2013
"Memphis Grizzlies",94.667,10.13,11.6,40.13,40.93,12.27,17.27,14.53,10.2,8.07,6.2,"2012-2013","POFF",15,0,2013
"Miami Heat",97.13,11.13,8.78,39.04,39.3,14,18.43,13.65,13.91,6.83,6.26,"2012-2013","POFF",23,1,2013
"Milwaukee Bucks",85.25,12.25,12.25,38.5,46,16.5,22,10.5,19,2.75,3.75,"2012-2013","POFF",4,0,2013
"New York Knicks",88.583,6.25,9.33,31.33,33.67,12.83,17.92,12.5,12.67,3.33,3.92,"2012-2013","POFF",12,0,2013
"Oklahoma City Thunder",98.455,13.36,11.64,36.36,39.27,16.45,15.91,11.91,13.36,9.82,7.09,"2012-2013","POFF",11,0,2013
"San Antonio Spurs",100.333,12.33,8.71,42.67,38.67,14.1,15.1,12.62,13.67,5,4.81,"2012-2013","POFF",21,0,2013
"Atlanta Hawks",101,13.88,12.35,41.05,42.46,17.28,17.39,11.39,13.17,6.84,5.29,"2013-2014","REG",82,0,2014
"Brooklyn Nets",98.524,9.3,13,38.44,41.15,16.62,18.61,10.18,12.84,5.7,3.9,"2013-2014","REG",82,0,2014
"Boston Celtics",96.244,12.07,13.32,37.78,44.78,16.56,15.89,13.94,13.8,6.01,5.05,"2013-2014","REG",82,0,2014
"Charlotte Bobcats",96.854,10.2,10.22,40.39,38.76,13.96,14.33,12.02,12.57,5.91,4.91,"2013-2014","REG",82,0,2014
"Chicago Bulls",93.659,9.8,12.35,37.24,36.98,15.62,15.39,14.11,11.68,5.43,4.78,"2013-2014","REG",82,0,2014
"Cleveland Cavaliers",98.22,10.66,12.12,39.27,38.88,16.62,15.07,13.06,12.6,6.2,4.57,"2013-2014","REG",82,0,2014
"Dallas Mavericks",104.841,12.22,15.61,41.88,43.59,16.2,17.15,11.95,13.48,6.52,5.15,"2013-2014","REG",82,0,2014
"Denver Nuggets",104.378,15.66,13.46,46.29,45.34,17.63,16.52,14.45,14.09,5.83,4.7,"2013-2014","REG",82,0,2014
"Detroit Pistons",101.049,16.89,14.07,51.88,44.32,16.93,18.06,16.07,14.04,5.35,5.07,"2013-2014","REG",82,0,2014
"Golden State Warriors",104.256,15.15,13.27,43.51,40.68,17.02,17.05,12.49,13.05,6.77,5.2,"2013-2014","REG",82,0,2014
"Houston Rockets",107.671,18.46,13.8,50.93,44.05,18.05,16.18,13.73,14.65,5.41,4.35,"2013-2014","REG",82,0,2014
"Indiana Pacers",96.744,9.59,11.68,38.37,35.71,15.37,15.54,12.45,11.76,5.33,4.32,"2013-2014","REG",82,0,2014
"Los Angeles Clippers",107.927,18.63,11.07,41.98,44.63,15.6,19.45,13.41,14.22,7.05,5.79,"2013-2014","REG",82,0,2014
"Los Angeles Lakers",102.951,15.22,16.7,41.05,49.17,18.34,15.91,10.89,15.79,6.67,4.77,"2013-2014","REG",82,0,2014
"Memphis Grizzlies",96.146,10.62,13.35,47.61,38.59,15.61,16.24,13.6,11.46,6.04,5.06,"2013-2014","REG",82,0,2014
"Miami Heat",102.195,13.16,12.05,45.17,41.1,17.37,19.32,9.7,13.32,6.26,4.8,"2013-2014","REG",82,0,2014
"Milwaukee Bucks",95.476,12.74,12.93,41.15,42.39,17.78,16.18,12.95,13.2,6.02,4.84,"2013-2014","REG",82,0,2014
"Minnesota Timberwolves",106.927,16.02,16.3,47.32,46.15,15.91,18.84,15.37,12.91,6.32,4.8,"2013-2014","REG",82,0,2014
"New Orleans Pelicans",99.72,13.27,13.52,45.51,43.83,16.1,16.76,13.98,12.91,7.4,6.39,"2013-2014","REG",82,0,2014
"New York Knicks",98.585,8.96,11.73,33.54,39.49,14.96,16.73,13.09,12.7,6.04,4.52,"2013-2014","REG",82,0,2014
"Oklahoma City Thunder",106.159,16.23,12.82,42.15,39.66,17.32,17.71,13.46,12.28,6.63,5.76,"2013-2014","REG",82,0,2014
"Orlando Magic",96.512,11.3,13.2,38.12,39.88,16.66,14.76,12.05,13,7,4.9,"2013-2014","REG",82,0,2014
"Philadelphia 76ers",99.451,17.4,16.63,49.51,44.17,19.18,18.57,13.91,14.15,5.76,4.83,"2013-2014","REG",82,0,2014
"Phoenix Suns",105.232,18.7,14.09,42.15,45.51,16.93,17.72,12.94,14.27,6.54,5.12,"2013-2014","REG",82,0,2014
"Portland Trailblazers",106.744,10.9,13.3,37.68,45.56,15.56,13.85,16.1,13.98,7.8,6.3,"2013-2014","REG",82,0,2014
"Sacramento Kings",100.5,13.06,15.33,43.98,41.88,17.12,15.05,15.24,11.94,7.1,6.17,"2013-2014","REG",82,0,2014
"San Antonio Spurs",105.354,13.23,12.78,45.93,42.2,16.3,16.46,11.98,12.72,6.07,4.74,"2013-2014","REG",82,1,2014
"Toronto Raptors",101.28,9.65,12.11,38.85,42.88,16.74,16.84,14.66,13.06,7.26,5.74,"2013-2014","REG",82,0,2014
