"osoba" "cena" "jakoœæ produktów" "bezpieczeñstwo gry/zabawki" "pomoc w nauce" "opinie innych dzieci/rówieœników" "promocja" "opinie w mediach" "opinia znajomych" "marka" "opinia rodziny" "reklama" "opinia sprzedawcy" "przyzwyczajenie" "inne"
"1" "matki" "50" "43" "40" "38" "22" "21" "17" "15" "13" "11" "4" "3" "1" "2"
"2" "ojcowie" "43" "54" "30" "40" "19" "12" "15" "13" "20" "11" "4" "6" "4" "3"
"3" "dzieci" "22" "20" "6" "8" "53" "13" "26" "24" "22" "5" "32" "1" "5" "1"
