"name","lon","lat","line","direction"
"5057-Synów Pu³ku",20.916331,52.225343,"10","Wyœcigi"
"5034-Bemowo-Ratusz",20.913372,52.238295,"10","P³ocka"
"6010-Szpital Bielañski",20.952522,52.287733,"17","Woronicza"
"7086-Hala Mirowska",20.996044,52.238628,"17","Tarchomin Koœcielny"
"5060-Czumy",20.914381,52.235297,"10","P³ocka"
"7080-Trasa £azienkowska",21.019048,52.217765,"10","Królikarnia"
"6008-AWF",20.956454,52.283328,"17","Woronicza"
"5012-Ciep³ownia Wola",20.91819,52.220846,"10","Wyœcigi"
"7085-Kino Femina",20.99407,52.241365,"17","Tarchomin Koœcielny"
"5058-Hala Wola",20.915201,52.229365,"10","P³ocka"
"3240-Woronicza",21.002873,52.18878,"17","Cm.W³oski"
"7006-Metro Politechnika",21.015013,52.219935,"10","Królikarnia"
"5001-Po³czyñska-parking P+R",20.92227,52.221805,"10","Wyœcigi"
"5057-Synów Pu³ku",20.916331,52.225343,"10","P³ocka"
"6007-Podleœna-IMiGW",20.959158,52.280453,"17","Woronicza"
"5021-Fort Wola",20.929103,52.223419,"10","Wyœcigi"
"7082-Nowolipki",20.991546,52.244277,"17","Tarchomin Koœcielny"
"5012-Ciep³ownia Wola",20.91819,52.220846,"10","P³ocka"
"3001-pl.Unii Lubelskiej",21.021098,52.21435,"10","Królikarnia"
"6006-¯eromskiego",20.963862,52.275675,"17","Woronicza"
"3002-Rakowiecka",21.021356,52.209244,"10","Królikarnia"
"5001-Po³czyñska-parking P+R",20.92227,52.221805,"10","P³ocka"
"3239-Wo³oska",21.001821,52.19499,"17","Cm.W³oski"
"5021-Fort Wola",20.929103,52.223419,"10","P³ocka"
"3238-Szpital MSW",21.001331,52.198584,"17","Cm.W³oski"
"5010-Sowiñskiego",20.936849,52.225493,"10","P³ocka"
"3003-Dworkowa",21.022889,52.204978,"10","Królikarnia"
"5009-Reduta Wolska",20.94202,52.226569,"10","P³ocka"
"3004-Morskie Oko",21.023381,52.202412,"10","Królikarnia"
"3286-Rakowiecka-Sanktuarium",20.999363,52.205511,"17","Cm.W³oski"
"5008-Elekcyjna",20.951688,52.229663,"10","P³ocka"
"3005-Park Dreszera",21.024111,52.196867,"10","Królikarnia"
"3237-Kulskiego",21.000267,52.202328,"17","Cm.W³oski"
"3118-Kielecka",21.00401,52.206836,"17","Cm.W³oski"
"3228-Metro Pole Mokotowskie",21.007622,52.209023,"17","Cm.W³oski"
"5006-Soko³owska",20.96028,52.232261,"10","P³ocka"
"5007-os.Wolska",20.955555,52.230882,"10","P³ocka"
"3006-Malczewskiego",21.02428,52.194204,"10","Królikarnia"
"7094-Biblioteka Narodowa",21.006408,52.212699,"17","Cm.W³oski"
"3007-Królikarnia",21.024506,52.190264,"10","Królikarnia"
"3010-NiedŸwiedzia",21.020894,52.17637,"10","Zajezdnia Wola"
"5005-P³ocka",20.96708,52.233683,"10","P³ocka"
"3009-Metro Wilanowska",21.02275,52.181429,"10","Zajezdnia Wola"
"7093-GUS",21.0053,52.216408,"17","Cm.W³oski"
"7089-Koszykowa",21.004789,52.222721,"17","Cm.W³oski"
"3008-Bukowiñska",21.02458,52.18608,"10","Zajezdnia Wola"
"7090-Nowowiejska",21.004934,52.219832,"17","Cm.W³oski"
"7002-Dw.Centralny",21.001338,52.228647,"17","Cm.W³oski"
"3007-Królikarnia",21.024551,52.190498,"10","Zajezdnia Wola"
"7088-rondo ONZ",20.998047,52.233816,"17","Cm.W³oski"
"3006-Malczewskiego",21.024326,52.194371,"10","Zajezdnia Wola"
"7086-Hala Mirowska",20.996044,52.238628,"17","Cm.W³oski"
"7085-Kino Femina",20.99407,52.241365,"17","Cm.W³oski"
"7082-Nowolipki",20.991546,52.244277,"17","Cm.W³oski"
